Ball Num,deltas
1,9
1,47
1,5
1,4
1,47
1,16
1,21
1,38
1,72
1,42
1,26
1,2
1,23
1,35
1,12
1,40
1,60
1,24
1,2
1,16
1,21
1,3
1,86
1,54
1,7
1,23
1,14
1,2
1,89
1,19
1,37
1,26
1,63
1,4
1,10
1,49
1,3
1,57
1,35
1,5
1,65
1,3
1,25
1,98
1,24
1,18
1,7
1,19
1,42
1,9
1,35
1,47
1,12
1,4
1,47
1,61
1,11
1,10
1,14
1,7
1,14
1,16
1,9
1,133
1,52
1,25
1,33
1,23
1,31
1,21
1,11
1,84
1,213
1,27
1,38
1,2
1,26
1,44
1,5
1,23
1,75
1,28
1,7
1,26
1,9
1,42
1,5
1,11
1,35
1,56
1,7
1,56
1,12
1,5
1,102
1,26
1,75
1,105
1,49
1,32
1,56
1,14
1,40
1,19
1,7
1,70
1,4
1,124
1,16
1,70
1,10
1,23
1,68
1,44
1,23
1,56
1,66
1,39
1,21
1,89
1,5
1,23
1,51
1,54
1,16
1,30
1,3
1,114
1,10
1,7
1,32
1,28
1,33
1,5
1,11
1,35
1,42
1,98
1,17
1,137
1,35
1,42
1,3
1,21
1,14
