Day,Month,Year,Time,Digit1,Digit2,Digit3,Digit4,Digit5,Digit6,Digit7,Digit8,Digit9,Digit10
14,12,2020,5,1,12,15,17,23,26,32,33,36,43
15,12,2020,5,3,6,8,24,28,37,43,51,52,57
16,12,2020,5,2,6,22,25,35,40,43,46,48,51
17,12,2020,5,5,8,9,10,12,19,20,21,22,24
18,12,2020,5,3,7,14,18,27,29,30,34,37,39
19,12,2020,5,10,15,16,17,23,24,29,34,35,39
20,12,2020,5,2,8,9,10,11,21,26,34,36,39
21,12,2020,5,7,8,9,10,13,14,15,23,25,37
22,12,2020,5,1,4,6,7,13,14,15,22,24,31
23,12,2020,5,1,2,3,5,19,22,23,31,32,34
24,12,2020,5,3,4,7,8,10,20,21,31,33,44
25,12,2020,5,1,5,7,15,16,17,22,24,34,35
26,12,2020,5,12,17,24,26,27,33,34,36,49,51
27,12,2020,5,8,13,19,20,29,35,36,37,40,43
28,12,2020,5,1,7,12,13,19,20,23,24,28,29
29,12,2020,5,3,11,14,19,22,23,28,31,41,43
30,12,2020,5,3,15,18,19,22,27,29,31,35,36
31,12,2020,5,1,16,17,18,20,21,29,34,38,39
1,1,2021,5,1,7,10,11,17,19,21,23,25,29
2,1,2021,5,6,8,12,13,14,19,21,25,26,40
3,1,2021,5,3,5,6,10,15,18,23,27,33,36
4,1,2021,5,5,8,9,14,21,23,26,28,38,40
5,1,2021,5,6,7,9,11,20,21,26,31,36,40
6,1,2021,5,3,13,15,17,18,25,26,27,29,32
7,1,2021,5,1,5,8,12,13,18,21,26,33,37
8,1,2021,5,3,5,6,7,12,23,26,36,40,43
9,1,2021,5,7,8,13,14,15,22,23,24,31,32
10,1,2021,5,1,3,12,15,18,20,22,26,30,32
11,1,2021,5,9,14,19,21,28,30,31,32,33,40
12,1,2021,5,1,9,13,14,15,16,23,42,48,51
13,1,2021,5,1,4,11,12,13,14,25,28,35,41
14,1,2021,5,2,9,12,13,15,19,20,21,23,28
15,1,2021,5,1,13,14,15,16,22,23,28,30,32
16,1,2021,5,1,2,5,9,11,16,29,36,38,41
17,1,2021,5,12,19,20,27,29,30,33,38,39,43
18,1,2021,5,2,5,15,19,21,23,24,33,38,46
19,1,2021,5,6,13,14,20,21,24,25,28,29,37
20,1,2021,5,1,3,7,15,19,20,24,26,29,32
21,1,2021,5,5,6,7,13,15,17,27,31,40,44
22,1,2021,5,7,8,10,15,16,21,26,27,38,43
23,1,2021,5,1,6,7,8,13,16,19,29,39,41
24,1,2021,5,3,4,6,7,16,21,23,28,36,45
25,1,2021,5,1,12,13,16,17,19,20,26,27,32
27,1,2021,5,6,11,19,22,24,27,37,45,49,50
28,1,2021,5,1,3,4,6,10,13,45,52,56,58
29,1,2021,5,5,8,10,14,18,19,24,32,38,40
30,1,2021,5,8,14,15,17,18,23,24,31,33,42
31,1,2021,5,1,7,15,16,19,21,26,28,31,40
1,2,2021,5,6,18,21,31,32,43,45,47,51,53
2,2,2021,5,3,10,14,17,21,24,28,33,35,37
3,2,2021,5,5,7,8,9,10,13,16,23,24,30
4,2,2021,5,6,8,9,24,29,37,42,46,49,54
5,2,2021,5,1,5,7,12,17,21,25,32,34,36
6,2,2021,5,1,3,10,16,19,20,24,27,28,32
7,2,2021,5,2,4,5,7,10,12,19,24,25,33
8,2,2021,5,2,12,14,19,20,22,25,38,44,48
9,2,2021,5,7,11,18,22,23,26,27,28,35,39
10,2,2021,5,6,7,8,11,19,20,23,27,30,31
11,2,2021,5,8,14,17,22,28,31,40,42,43,47
12,2,2021,5,1,3,7,9,10,12,23,30,43,49
13,2,2021,5,1,15,16,23,24,26,29,34,42,45
14,2,2021,5,4,6,8,14,15,24,29,30,38,39
15,2,2021,5,4,7,11,16,26,34,35,37,42,45
16,2,2021,5,2,5,7,17,19,22,27,36,37,43
17,2,2021,5,8,18,22,25,28,31,33,36,38,43
18,2,2021,5,9,12,15,17,27,32,34,38,48,52
19,2,2021,5,8,17,19,20,22,28,29,30,38,39
20,2,2021,5,3,13,14,15,17,20,23,25,27,31
21,2,2021,5,7,8,12,16,17,21,26,27,29,37
22,2,2021,5,1,5,6,7,15,22,24,25,27,36
23,2,2021,5,6,7,12,23,25,27,28,30,32,34
24,2,2021,5,2,3,4,6,8,10,12,18,30,34
25,2,2021,5,3,6,7,10,13,21,22,24,25,34
26,2,2021,5,5,7,13,17,21,23,24,28,30,31
27,2,2021,5,5,7,12,19,25,27,29,31,32,35
28,2,2021,5,1,3,5,7,11,16,22,23,33,35
1,3,2021,5,1,7,8,10,13,19,20,21,42,43
1,3,2021,5,2,4,8,9,18,19,21,32,38,40
2,3,2021,5,4,10,14,22,28,31,35,38,39,41
2,3,2021,5,3,9,10,13,27,30,35,36,39,41
3,3,2021,5,11,15,17,19,22,24,29,33,37,47
3,3,2021,5,3,9,15,19,23,29,37,39,40,44
4,3,2021,5,2,4,7,8,13,17,20,29,38,40
4,3,2021,5,4,16,17,20,22,28,29,33,42,45
5,3,2021,5,5,6,8,12,13,16,30,34,36,37
5,3,2021,5,2,4,9,14,16,20,30,32,33,34
6,3,2021,5,1,3,17,22,24,25,26,30,31,33
6,3,2021,5,5,13,16,17,37,40,42,43,45,46
7,3,2021,5,5,7,8,9,19,20,21,31,38,49
7,3,2021,5,4,5,15,17,20,23,31,37,39,40
8,3,2021,5,7,8,9,13,14,17,24,29,31,35
8,3,2021,5,16,17,20,22,25,26,38,40,42,46
9,3,2021,5,1,3,6,9,10,13,16,17,25,44
9,3,2021,5,9,10,14,18,24,31,33,34,38,41
10,3,2021,5,1,2,10,23,25,27,34,37,43,48
10,3,2021,5,4,9,11,12,16,20,21,30,32,37
11,3,2021,5,1,13,18,27,32,37,42,47,51,54
11,3,2021,5,2,3,8,11,17,20,29,36,37,39
12,3,2021,5,1,4,8,11,12,15,22,28,31,33
12,3,2021,5,7,10,13,23,27,28,30,32,34,36
13,3,2021,5,2,4,5,6,13,19,21,33,45,48
13,3,2021,5,2,4,10,18,19,21,25,26,30,33
14,3,2021,5,2,5,6,7,21,22,23,24,28,30
14,3,2021,5,6,7,8,10,11,14,17,30,34,38
15,3,2021,5,3,5,10,13,16,25,26,27,32,39
15,3,2021,5,12,13,18,21,27,29,33,35,41,42
16,3,2021,5,5,7,8,9,13,15,20,21,24,27
16,3,2021,5,5,10,14,17,23,25,27,28,30,42
17,3,2021,5,1,6,7,8,13,14,25,26,33,36
17,3,2021,5,7,8,9,15,18,19,20,22,25,28
18,3,2021,5,3,5,7,8,17,21,22,24,28,32
18,3,2021,5,4,7,14,18,22,24,26,28,31,34
19,3,2021,5,1,5,12,18,20,21,28,30,31,32
19,3,2021,5,5,8,14,16,22,33,34,38,39,42
20,3,2021,5,3,6,14,15,19,21,26,33,36,37
20,3,2021,5,4,5,7,11,15,27,34,40,41,42
21,3,2021,5,4,7,9,18,22,24,28,30,31,36
21,3,2021,5,2,3,11,15,20,21,23,24,26,33
22,3,2021,5,1,2,3,5,7,10,14,25,27,32
22,3,2021,5,6,8,13,14,17,23,25,27,34,43
23,3,2021,5,5,10,12,13,20,23,26,27,30,32
23,3,2021,5,6,12,16,19,25,26,27,34,40,41
24,3,2021,5,1,2,4,5,6,8,14,22,24,27
24,3,2021,5,1,2,6,14,17,23,27,32,40,43
25,3,2021,5,1,3,4,8,14,20,25,26,33,34
25,3,2021,5,5,13,15,21,28,30,33,42,46,48
26,3,2021,5,4,7,10,13,17,18,21,23,26,32
26,3,2021,5,1,3,9,21,22,32,35,36,37,40
27,3,2021,5,5,7,10,13,24,26,29,30,31,34
27,3,2021,5,5,6,14,16,17,18,19,20,27,28
28,3,2021,5,1,2,5,9,16,19,24,27,32,33
28,3,2021,5,9,12,17,19,20,22,25,26,34,35
29,3,2021,5,2,5,8,13,14,21,27,32,40,50
29,3,2021,5,7,17,22,24,27,29,36,38,40,41
30,3,2021,5,3,6,15,16,19,25,30,34,35,36
30,3,2021,5,4,7,12,14,17,19,24,26,27,33
31,3,2021,5,4,5,10,11,13,16,17,19,21,28
31,3,2021,5,6,9,12,15,17,22,24,27,29,34
1,4,2021,5,5,13,14,15,18,19,24,29,33,41
2,4,2021,5,3,10,14,15,22,36,38,43,45,50
3,4,2021,5,2,6,8,12,16,28,33,35,36,37
4,4,2021,5,3,4,9,16,21,22,25,33,43,44
5,4,2021,5,1,3,4,8,12,14,19,25,26,28
6,4,2021,5,5,7,10,15,17,20,29,31,34,47
7,4,2021,5,5,6,8,10,13,14,22,23,32,37
8,4,2021,5,2,3,4,7,9,12,16,17,19,20
9,4,2021,5,1,2,4,9,13,17,18,19,20,25
10,4,2021,5,7,15,20,22,23,25,34,39,40,45
18,10,2021,5,1,6,12,19,24,26,27,32,41,43
19,10,2021,5,2,17,18,20,22,23,29,30,32,41
20,10,2021,5,8,18,23,26,31,33,35,45,46,49
21,10,2021,5,1,7,8,9,10,13,39,40,45,48
22,10,2021,5,8,9,13,14,16,22,24,25,27,31
23,10,2021,5,1,2,4,7,8,13,14,19,20,24
24,10,2021,5,1,2,3,7,10,12,13,16,24,25
25,10,2021,5,4,10,13,23,27,29,31,34,35,40
26,10,2021,5,1,2,7,14,25,27,30,41,49,52
27,10,2021,5,3,6,10,12,15,16,19,20,22,24
28,10,2021,5,3,4,5,21,22,32,34,36,40,45
29,10,2021,5,4,5,9,10,11,12,19,21,26,29
30,10,2021,5,3,11,12,14,26,27,32,35,39,42
31,10,2021,5,5,6,8,11,29,30,33,34,37,40
1,11,2021,5,7,17,22,25,28,29,30,34,37,47
2,11,2021,5,2,4,12,18,30,36,38,40,43,44
3,11,2021,5,1,3,6,8,10,14,16,23,26,33
4,11,2021,5,1,2,5,6,15,22,28,32,33,36
5,11,2021,5,8,11,12,19,23,27,31,32,38,45
6,11,2021,5,9,10,17,28,30,31,35,37,38,42
7,11,2021,5,1,5,13,14,17,18,19,23,26,28
8,11,2021,5,7,19,20,22,25,26,33,38,40,41
9,11,2021,5,1,16,17,18,21,31,32,35,36,43
10,11,2021,5,3,6,11,12,14,16,17,21,23,30
11,11,2021,5,2,3,6,7,11,15,22,24,27,31
12,11,2021,5,2,5,6,12,14,22,23,25,27,32
13,11,2021,5,1,8,13,18,27,37,41,42,45,52
14,11,2021,5,1,4,5,7,20,28,30,32,37,39
15,11,2021,5,6,7,9,12,15,27,37,38,41,45
16,11,2021,5,1,4,12,13,15,20,22,27,31,33
17,11,2021,5,6,7,8,12,15,17,18,32,38,45
18,11,2021,5,6,8,19,22,24,25,31,32,35,41
19,11,2021,5,4,5,8,13,15,17,18,19,24,27
20,11,2021,5,1,8,10,16,17,22,28,36,37,40
21,11,2021,5,8,15,22,25,30,32,37,38,39,40
22,11,2021,5,2,4,5,6,7,8,17,23,24,31
23,11,2021,5,4,5,15,17,21,23,24,25,27,44
24,11,2021,5,6,8,9,16,23,25,27,31,37,41
25,11,2021,5,5,17,21,25,27,28,42,43,45,48
26,11,2021,5,7,8,10,11,21,25,31,35,41,47
27,11,2021,5,1,3,11,17,18,23,27,29,30,32
28,11,2021,5,4,13,14,18,19,27,31,40,41,49
29,11,2021,5,5,14,21,26,28,31,39,41,43,44
30,11,2021,5,2,11,13,14,19,23,25,31,32,33
1,12,2021,5,5,6,12,17,20,26,38,39,43,44
2,12,2021,5,2,3,6,9,13,18,31,34,40,45
3,12,2021,5,2,5,7,9,22,23,24,34,36,42
4,12,2021,5,7,9,11,15,16,17,20,21,28,39
5,12,2021,5,1,4,7,12,14,23,26,29,30,33
6,12,2021,5,5,11,25,28,29,30,34,36,40,41
7,12,2021,5,5,7,10,13,14,21,25,37,41,43
8,12,2021,5,6,8,12,17,18,20,26,31,34,37
9,12,2021,5,2,5,7,15,23,26,32,33,37,42
10,12,2021,5,7,11,16,27,30,33,44,51,52,53
11,12,2021,5,3,6,11,12,14,15,19,29,30,32
12,12,2021,5,5,6,14,23,24,30,36,41,43,48
13,12,2021,5,1,10,15,18,19,20,28,30,34,35
14,12,2021,5,4,6,13,15,16,18,22,28,34,35
15,12,2021,5,5,6,16,20,22,24,28,30,31,32
16,12,2021,5,1,2,5,13,15,16,17,19,28,29
17,12,2021,5,1,8,9,13,32,33,35,36,40,41
18,12,2021,5,1,4,5,7,8,17,19,21,22,27
19,12,2021,5,5,15,16,23,27,35,44,48,49,50
20,12,2021,5,11,14,16,21,23,28,36,41,42,43
21,12,2021,5,3,11,14,19,27,29,32,36,48,51
22,12,2021,5,3,7,9,16,18,19,20,31,34,35
23,12,2021,5,1,5,9,10,24,31,34,35,39,43
24,12,2021,5,2,6,13,15,17,18,24,32,40,48
25,12,2021,5,6,7,11,12,13,16,21,23,33,35
26,12,2021,5,1,7,10,16,17,18,19,20,21,28
27,12,2021,5,1,7,14,15,16,18,22,23,24,27
28,12,2021,5,8,9,12,17,18,19,21,22,30,34
29,12,2021,5,3,4,15,16,19,21,24,25,27,37
30,12,2021,5,4,5,6,11,14,15,17,36,38,41
31,12,2021,5,2,10,11,13,14,17,19,22,31,32
1,1,2022,5,2,3,11,12,14,15,16,17,21,27
2,1,2022,5,3,8,11,12,15,28,31,34,36,38
3,1,2022,5,8,16,18,22,27,30,35,36,37,38
4,1,2022,5,5,6,11,16,30,35,36,38,39,49
5,1,2022,5,1,2,3,5,6,10,20,24,30,33
6,1,2022,5,4,7,9,11,12,18,21,24,26,30
7,1,2022,5,1,2,6,12,18,22,25,38,39,42
8,1,2022,5,1,14,16,19,20,25,32,34,49,53
9,1,2022,5,3,7,11,14,19,22,23,26,28,30
10,1,2022,5,5,6,10,11,12,16,26,32,38,39
11,1,2022,5,4,8,19,20,23,27,29,30,31,38
12,1,2022,5,6,9,12,16,18,23,25,26,27,39
13,1,2022,5,11,17,21,23,27,29,30,36,39,41
14,1,2022,5,2,3,9,13,15,17,26,27,33,40
15,1,2022,5,8,14,18,26,28,29,30,33,37,39
16,1,2022,5,1,2,9,17,20,23,26,35,40,50
17,1,2022,5,4,7,8,11,12,14,19,22,25,27
18,1,2022,5,1,4,5,9,10,13,14,22,24,25
19,1,2022,5,5,7,10,11,13,14,18,20,22,34
20,1,2022,5,1,7,9,13,21,29,31,38,41,42
21,1,2022,5,4,9,11,14,18,20,28,29,33,34
22,1,2022,5,12,16,23,29,33,34,37,38,44,52
23,1,2022,5,7,8,16,17,28,33,39,40,44,45
24,1,2022,5,2,3,5,10,11,24,27,31,32,34
25,1,2022,5,5,6,12,24,26,29,37,41,43,50
27,1,2022,5,1,6,8,9,14,17,25,35,39,42
28,1,2022,5,3,4,5,11,15,28,29,35,40,41
29,1,2022,5,2,9,23,25,32,36,40,46,58,59
30,1,2022,5,2,15,17,20,22,31,32,34,43,47
31,1,2022,5,3,10,14,20,21,22,24,25,26,35
1,2,2022,5,3,4,14,21,22,24,31,37,38,39
2,2,2022,5,5,12,18,22,24,32,42,43,45,46
3,2,2022,5,7,9,20,23,26,28,40,42,43,44
4,2,2022,5,3,4,9,17,18,19,23,31,33,35
5,2,2022,5,1,16,19,23,27,29,31,36,39,40
6,2,2022,5,1,4,17,20,28,30,32,36,38,39
7,2,2022,5,2,10,11,14,21,24,25,29,34,35
8,2,2022,5,3,14,20,21,33,45,47,49,50,52
9,2,2022,5,1,10,11,12,13,14,15,16,18,24
10,2,2022,5,4,7,9,14,26,27,31,34,38,44
11,2,2022,5,1,2,5,9,17,18,21,24,29,32
12,2,2022,5,2,6,10,11,12,17,22,26,32,45
13,2,2022,5,4,7,10,29,30,32,34,36,37,40
14,2,2022,5,3,9,10,17,21,29,33,37,38,40
15,2,2022,5,2,5,13,14,25,27,29,32,38,42
16,2,2022,5,7,8,13,17,18,19,29,30,41,42
17,2,2022,5,3,9,11,12,13,18,25,28,35,43
18,2,2022,5,5,6,8,17,30,32,36,37,47,53
19,2,2022,5,3,4,5,6,7,11,27,30,34,38
20,2,2022,5,5,9,11,13,15,19,20,23,31,36
21,2,2022,5,2,3,20,21,25,28,35,40,44,48
22,2,2022,5,1,2,3,7,9,10,11,16,18,21
23,2,2022,5,1,6,11,15,16,21,27,31,37,42
24,2,2022,5,2,10,12,18,25,26,35,36,37,46
25,2,2022,5,7,9,11,17,24,25,26,30,31,35
26,2,2022,5,10,13,20,23,30,34,36,37,38,39
27,2,2022,5,9,14,16,17,21,22,23,25,26,33
28,2,2022,5,4,5,13,16,19,23,24,26,29,31
1,3,2022,5,2,3,7,12,17,21,22,32,33,34
2,3,2022,5,6,10,16,18,19,26,28,31,38,42
3,3,2022,5,8,15,18,21,25,34,41,43,46,48
4,3,2022,5,5,9,14,20,27,34,38,41,44,47
5,3,2022,5,4,7,18,24,34,39,40,41,42,44
6,3,2022,5,9,14,17,19,22,24,25,30,35,40
7,3,2022,5,11,13,19,20,24,27,36,37,38,49
8,3,2022,5,8,12,16,18,23,27,32,34,36,39
9,3,2022,5,8,14,15,20,21,23,26,27,29,34
14,3,2022,5,2,7,11,18,21,34,37,38,39,45
15,3,2022,5,4,7,8,10,14,15,20,28,29,36
16,3,2022,5,2,4,6,9,10,11,18,20,27,29
17,3,2022,5,7,9,11,12,23,27,29,32,35,40
18,3,2022,5,6,7,10,21,22,27,31,33,38,43
19,3,2022,5,3,5,9,10,21,22,24,28,35,36
20,3,2022,5,3,9,10,16,21,28,30,42,44,46
21,3,2022,5,1,5,17,20,24,27,28,30,34,36
22,3,2022,5,4,11,12,13,15,19,32,40,43,45
23,3,2022,5,4,5,28,29,31,34,36,38,39,47
24,3,2022,5,2,7,8,14,16,22,24,28,29,36
25,3,2022,5,5,6,9,13,16,17,20,26,34,36
26,3,2022,5,13,16,18,22,28,34,40,42,43,44
27,3,2022,5,3,8,15,18,31,32,33,34,38,42
30,3,2022,5,5,6,14,18,21,25,36,45,48,49
31,3,2022,5,2,10,18,19,20,22,25,26,28,36
1,4,2022,5,1,3,10,11,12,13,16,18,29,31
2,4,2022,5,2,6,13,14,20,22,24,26,30,31
3,4,2022,5,2,13,16,25,28,32,35,37,41,42
4,4,2022,5,2,4,8,17,20,26,30,37,40,45
5,4,2022,5,1,2,6,11,13,21,24,25,27,28
6,4,2022,5,1,12,16,17,18,22,25,33,34,38
7,4,2022,5,2,8,11,12,13,14,19,25,30,32
8,4,2022,5,7,10,12,13,14,15,25,28,34,36
9,4,2022,5,9,10,23,27,30,31,36,43,47,49
10,4,2022,5,3,5,17,18,21,26,27,29,34,37
11,4,2022,5,10,15,16,18,23,25,29,32,37,45
12,4,2022,5,3,4,9,13,18,19,20,25,26,29
15,4,2022,5,5,12,15,24,39,42,43,45,46,49
16,4,2022,5,3,6,12,19,26,29,30,31,32,33
17,4,2022,5,2,3,4,9,14,21,25,28,35,38
18,4,2022,5,2,6,8,9,12,15,20,21,33,36
19,4,2022,5,1,5,20,22,27,30,33,36,38,41
20,4,2022,5,1,6,7,9,12,16,27,32,36,37
21,4,2022,5,4,8,9,10,11,13,14,17,20,24
22,4,2022,5,5,22,23,31,34,39,44,46,47,53
23,4,2022,5,2,3,5,8,11,16,21,23,24,29
24,4,2022,5,9,10,14,16,21,23,24,27,33,34
25,4,2022,5,4,16,17,21,22,25,26,30,31,32
26,4,2022,5,4,8,9,11,14,19,22,24,31,34
27,4,2022,5,4,16,20,22,32,34,35,36,37,41
28,4,2022,5,8,9,10,13,14,16,20,23,27,28
29,4,2022,5,6,18,31,35,37,38,43,47,49,50
30,4,2022,5,1,2,5,9,17,23,24,29,36,40
1,5,2022,5,1,2,3,5,7,11,19,28,32,40
2,5,2022,5,1,3,6,8,10,11,12,28,32,39
3,5,2022,5,1,3,10,12,13,18,21,22,28,37
4,5,2022,5,2,7,10,11,12,18,19,22,24,29
5,5,2022,5,3,5,6,7,9,18,23,26,27,35
6,5,2022,5,3,5,7,10,28,29,31,34,36,45
11,5,2022,5,2,7,13,17,29,31,34,36,44,45
12,5,2022,5,5,15,17,20,23,25,28,31,38,39
15,5,2022,5,3,6,7,11,12,15,20,24,25,30
16,5,2022,5,3,10,13,14,18,23,27,30,36,39
17,5,2022,5,1,8,9,13,18,19,20,24,26,35
18,5,2022,5,5,12,15,27,29,30,34,35,37,39
19,5,2022,5,2,3,4,5,6,9,10,12,14,16
20,5,2022,5,3,6,14,28,31,38,39,41,45,47
21,5,2022,5,1,5,8,10,14,22,32,35,38,39
22,5,2022,5,9,15,20,21,23,27,29,37,41,43
23,5,2022,5,2,3,4,9,11,12,15,17,23,29
24,5,2022,5,2,3,8,12,14,16,19,27,30,31
25,5,2022,5,5,8,12,14,15,19,21,23,25,31
26,5,2022,5,3,15,17,18,24,33,36,38,43,51
27,5,2022,5,2,8,10,11,13,14,19,20,39,40
28,5,2022,5,2,7,11,17,22,23,29,43,44,47
29,5,2022,5,1,15,18,27,31,32,37,39,41,44
30,5,2022,5,13,15,16,19,20,23,24,28,29,30
31,5,2022,5,1,4,9,13,16,21,22,27,33,36
1,6,2022,5,10,11,22,23,24,32,33,37,40,43
2,6,2022,5,5,8,13,23,24,27,29,30,34,38
3,6,2022,5,1,9,10,12,13,22,23,26,29,34
4,6,2022,5,1,3,7,8,14,17,25,28,36,43
5,6,2022,5,2,4,9,22,26,28,29,33,39,40
6,6,2022,5,1,9,14,15,19,25,27,29,34,36
7,6,2022,5,1,2,5,6,10,11,14,22,28,40
8,6,2022,5,5,6,8,9,12,15,18,24,28,36
9,6,2022,5,1,5,8,11,14,18,20,22,32,34
10,6,2022,5,5,10,12,17,19,22,24,34,35,38
11,6,2022,5,4,16,19,22,24,26,32,34,39,41
12,6,2022,5,4,7,13,24,30,32,34,37,39,48
13,6,2022,5,2,5,8,12,15,16,19,27,30,34
14,6,2022,5,1,4,5,6,12,14,15,17,26,27
15,6,2022,5,1,3,4,9,14,20,33,37,38,40
16,6,2022,5,2,5,7,9,12,14,21,26,30,34
17,6,2022,5,5,7,8,11,12,19,23,31,41,51
18,6,2022,5,2,3,11,15,16,17,24,30,32,34
19,6,2022,5,5,7,8,15,16,22,24,30,33,39
20,6,2022,5,3,4,7,14,15,20,24,31,32,35
21,6,2022,5,5,6,9,10,16,23,29,35,43,47
22,6,2022,5,6,8,13,16,17,19,20,23,28,34
23,6,2022,5,1,5,11,16,17,18,20,23,32,35
24,6,2022,5,9,11,14,22,23,25,26,28,33,35
25,6,2022,5,4,7,12,13,25,30,36,39,46,47
26,6,2022,5,4,5,6,7,10,11,15,37,40,41
27,6,2022,5,17,22,25,26,28,29,32,33,40,42
28,6,2022,5,2,4,10,11,12,13,19,22,28,33
29,6,2022,5,2,5,9,16,19,25,30,31,32,33
30,6,2022,5,2,4,6,11,13,15,16,23,24,27
1,7,2022,5,1,9,10,16,18,20,26,32,40,43
4,7,2022,5,2,6,7,10,14,29,31,33,34,40
5,7,2022,5,1,4,5,10,21,23,27,38,39,46
6,7,2022,5,4,11,12,13,14,23,26,30,32,35
7,7,2022,5,1,2,8,9,12,13,14,16,33,39
8,7,2022,5,1,2,11,15,17,28,32,40,43,44
9,7,2022,5,1,4,6,8,13,15,16,20,23,27
10,7,2022,5,2,4,9,15,16,20,24,29,30,33
11,7,2022,5,4,7,9,11,13,18,23,27,28,34
12,7,2022,5,1,5,7,10,11,16,20,23,24,31
13,7,2022,5,1,7,11,22,25,26,28,29,31,32
14,7,2022,5,2,8,11,14,20,22,25,28,31,34
15,7,2022,5,4,7,12,13,14,16,19,20,23,25
16,7,2022,5,1,11,12,24,28,29,31,34,36,37
17,7,2022,5,6,9,13,14,15,17,22,27,33,34
18,7,2022,5,7,9,14,20,33,35,41,44,45,47
19,7,2022,5,1,2,4,13,25,26,31,34,45,56
20,7,2022,5,1,2,9,17,22,31,32,34,35,37
