Digit1,Digit2,Digit3,Digit4,Digit5,Digit6,Digit7,Digit8,Digit9,Digit10
28,32,33,35,36,45,57,65,77,80
8,14,21,24,40,45,52,60,68,80
12,25,27,28,34,60,65,68,72,76
6,16,20,30,33,46,54,62,70,72
12,32,38,39,44,46,50,64,74,76
4,20,24,34,42,52,54,64,68,76
22,28,32,36,39,46,49,58,62,76
4,20,32,39,40,48,62,65,68,70
26,27,30,42,44,58,63,65,70,78
4,14,22,27,34,51,55,64,70,78
6,12,20,38,44,51,57,69,77,80
9,12,18,21,39,51,64,68,74,75
14,18,28,32,35,46,58,64,74,76
12,20,25,38,44,50,63,66,75,78
4,15,18,20,44,46,58,62,64,77
16,20,30,42,44,60,68,70,75,78
6,9,25,32,40,56,57,63,66,74
4,12,15,24,30,49,51,65,66,75
9,15,16,20,32,45,50,51,54,55
10,21,27,34,39,46,65,66,70,72
