Day,Month,Year,Time,Digit1,Digit2,Digit3,Digit4,Digit5,Digit6,Digit7,Digit8,Digit9,Digit10,Digit11,Digit12,Digit13,Digit14,Digit15,Digit16,Digit17,Digit18,Digit19,Digit20
14,12,2020,6,1,2,9,14,15,21,40,41,44,46,56,59,61,62,63,65,66,70,74,77
15,12,2020,6,5,6,7,12,16,17,18,23,35,39,44,45,53,54,56,57,59,62,64,72
16,12,2020,6,1,3,4,17,22,26,30,32,33,46,49,59,61,66,67,68,70,72,74,80
17,12,2020,6,1,3,5,11,18,19,20,24,36,38,41,42,55,63,65,66,68,70,74,77
18,12,2020,6,4,6,13,14,15,21,30,33,34,37,40,43,47,48,53,59,60,63,68,74
19,12,2020,6,4,5,8,15,17,19,23,28,35,37,39,42,46,55,63,68,71,73,74,76
20,12,2020,6,1,5,8,10,13,29,30,31,34,48,51,53,56,61,64,67,68,70,73,77
21,12,2020,6,5,6,13,17,21,22,32,35,40,47,52,55,59,62,63,65,69,72,73,76
22,12,2020,6,10,11,15,18,23,24,25,26,31,37,39,44,46,53,58,64,66,68,76,77
23,12,2020,6,2,8,10,23,26,29,31,33,34,37,39,44,47,51,56,57,58,62,67,77
24,12,2020,6,1,4,7,9,10,11,17,22,29,32,35,48,51,56,57,59,61,62,65,76
25,12,2020,6,8,10,12,15,18,26,29,32,33,38,41,42,43,47,49,51,56,60,68,78
26,12,2020,6,3,8,11,12,22,28,29,33,39,42,43,51,53,55,58,62,65,66,67,80
27,12,2020,6,1,3,5,8,9,12,25,30,39,46,49,52,56,60,67,68,70,78,79,80
28,12,2020,6,1,4,10,19,20,24,31,42,46,47,49,50,51,54,57,59,62,76,78,79
29,12,2020,6,8,9,11,13,19,24,26,34,42,48,49,59,60,62,67,70,71,74,75,78
30,12,2020,6,5,7,10,13,15,19,22,37,44,47,49,50,54,57,59,60,61,66,68,73
31,12,2020,6,1,3,5,8,11,13,20,22,23,28,29,44,49,50,53,55,65,66,69,79
1,1,2021,6,4,6,8,9,14,15,18,21,23,35,38,40,43,48,49,50,53,58,68,71
2,1,2021,6,2,12,18,22,24,33,37,42,45,47,52,53,61,64,66,70,71,74,78,79
3,1,2021,6,2,5,6,7,11,12,15,19,20,45,48,50,57,61,62,66,67,70,75,76
4,1,2021,6,7,8,11,17,35,36,42,43,45,48,49,50,62,65,67,68,69,73,74,75
5,1,2021,6,4,6,7,8,11,15,18,20,22,24,37,40,46,52,53,60,66,68,69,74
6,1,2021,6,3,4,6,11,13,18,20,28,29,34,36,37,39,50,52,54,55,62,66,74
