Unique Number,Frequency,Array of Dates
@2346789,4,"['2010/12/27', '2016/3/26', '2017/11/7', '2018/12/27']"
@0145679,3,"['2009/4/27', '2015/4/28', '2017/8/5']"
@45689,2,"['2015/1/31', '2015/7/9']"
@23489,1,['2012/9/11']
@034678,2,"['2010/8/3', '2019/2/14']"
@123579,2,"['2012/1/17', '2019/4/30']"
@0123459,1,['2016/11/17']
@1235689,10,"['2012/10/20', '2013/6/15', '2016/4/16', '2017/3/16', '2018/8/30', '2019/1/17', '2020/1/14', '2020/6/20', '2022/6/6', '2022/8/9']"
@2345789,6,"['2010/7/6', '2013/3/14', '2016/8/13', '2020/8/27', '2020/9/17', '2021/2/23']"
@012567,3,"['2009/3/28', '2013/2/23', '2018/6/5']"
@02356789,6,"['2011/4/12', '2014/7/22', '2016/3/12', '2019/7/25', '2020/1/18', '2021/4/1']"
@03456789,2,"['2012/3/24', '2020/5/9']"
@1234578,23,"['2009/2/5', '2010/7/24', '2010/10/12', '2010/11/27', '2012/1/14', '2012/2/16', '2012/3/31', '2012/6/9', '2013/4/2', '2013/9/7', '2014/7/5', '2015/6/4', '2015/8/11', '2016/10/31', '2017/2/9', '2017/4/24', '2017/7/18', '2017/8/29', '2019/8/29', '2020/8/22', '2021/8/5', '2022/1/11', '2022/5/10']"
@01234578,26,"['2009/8/17', '2009/9/22', '2011/3/19', '2011/5/26', '2011/7/16', '2011/9/17', '2011/12/29', '2012/4/12', '2012/8/28', '2013/9/5', '2013/10/10', '2014/3/8', '2014/12/6', '2015/1/17', '2018/2/15', '2018/4/7', '2018/7/26', '2018/9/4', '2019/12/10', '2019/12/19', '2020/7/14', '2020/8/25', '2020/11/17', '2021/5/3', '2022/5/26', '2022/7/9']"
@134589,2,"['2013/7/11', '2016/9/22']"
@0124567,7,"['2009/9/29', '2012/1/5', '2012/3/29', '2012/8/30', '2017/6/6', '2018/4/30', '2019/11/28']"
@014579,2,"['2009/10/20', '2010/4/20']"
@01346789,9,"['2009/5/7', '2010/12/14', '2012/11/17', '2015/1/5', '2015/11/3', '2016/6/9', '2018/5/17', '2019/4/18', '2020/7/18']"
@045679,1,['2014/1/2']
@012568,3,"['2015/6/9', '2015/9/22', '2019/4/11']"
@123459,7,"['2010/5/4', '2010/12/30', '2011/6/11', '2012/4/10', '2016/4/9', '2018/6/30', '2022/9/6']"
@013478,4,"['2014/1/16', '2014/6/5', '2021/8/19', '2022/3/3']"
@023589,1,['2010/6/26']
@0145689,2,"['2012/3/10', '2021/4/27']"
@0135679,4,"['2010/12/2', '2014/9/20', '2019/10/19', '2021/4/3']"
@124679,1,['2015/10/1']
@34567,3,"['2009/5/26', '2013/12/14', '2021/8/28']"
@256789,1,['2009/6/27']
@2356789,10,"['2010/5/29', '2011/8/16', '2011/12/17', '2013/4/20', '2015/2/24', '2015/4/27', '2017/3/21', '2018/7/21', '2018/9/8', '2021/3/2']"
@14567,2,"['2012/11/5', '2018/8/2']"
@01248,1,['2009/9/19']
@125689,3,"['2011/10/22', '2012/4/26', '2014/12/23']"
@0134689,2,"['2010/9/2', '2016/4/19']"
@0123789,1,['2013/12/19']
@01245789,6,"['2009/8/22', '2010/11/25', '2014/1/30', '2016/1/16', '2016/10/1', '2022/7/28']"
@0123468,5,"['2013/3/9', '2013/5/18', '2016/4/28', '2018/2/24', '2022/6/21']"
@2568,1,['2015/10/31']
@145678,7,"['2012/10/18', '2016/1/14', '2016/5/24', '2016/10/22', '2020/1/9', '2021/8/3', '2021/12/11']"
@12568,2,"['2013/1/29', '2015/6/20']"
@023469,1,['2017/2/21']
@01345689,11,"['2009/4/11', '2010/7/20', '2011/12/9', '2012/10/11', '2015/6/13', '2016/2/2', '2016/9/1', '2017/9/26', '2018/10/23', '2021/1/26', '2021/3/11']"
@01235689,12,"['2009/8/13', '2009/11/17', '2009/12/1', '2011/5/12', '2011/7/14', '2013/4/16', '2013/8/22', '2015/12/10', '2016/1/28', '2016/5/21', '2017/9/14', '2018/11/27']"
@023456789,13,"['2010/9/23', '2010/12/18', '2011/11/5', '2012/1/12', '2012/11/13', '2013/12/28', '2015/3/5', '2015/4/11', '2017/5/2', '2018/10/30', '2018/11/3', '2019/11/5', '2021/7/20']"
@134569,4,"['2013/11/16', '2016/9/10', '2017/10/12', '2018/10/13']"
@45678,2,"['2010/4/24', '2018/6/4']"
@14578,2,"['2016/6/25', '2018/5/8']"
@0134579,6,"['2009/12/3', '2012/6/14', '2018/2/17', '2018/4/3', '2018/12/6', '2022/11/3']"
@0135789,2,"['2010/8/19', '2016/4/23']"
@12345,1,['2014/3/15']
@125679,6,"['2009/4/21', '2012/12/20', '2014/1/28', '2019/11/23', '2021/9/25', '2022/4/16']"
@1345678,25,"['2009/7/25', '2009/9/8', '2010/6/1', '2011/10/6', '2011/12/24', '2012/1/3', '2012/5/17', '2013/5/4', '2013/7/25', '2013/8/3', '2013/9/12', '2013/12/23', '2014/6/14', '2015/2/21', '2015/2/26', '2015/7/23', '2015/12/17', '2017/5/27', '2017/7/6', '2018/2/6', '2019/1/15', '2020/3/14', '2021/1/9', '2021/7/17', '2022/7/26']"
@0234678,5,"['2010/6/3', '2012/2/11', '2014/3/25', '2019/5/21', '2021/4/17']"
@1245789,8,"['2010/3/18', '2011/1/7', '2014/3/20', '2015/1/22', '2016/5/3', '2017/4/29', '2017/6/22', '2019/6/6']"
@045678,2,"['2016/12/10', '2021/11/20']"
@013457,1,['2010/7/22']
@345689,3,"['2014/3/18', '2018/2/27', '2019/10/15']"
@013578,3,"['2010/8/10', '2018/2/13', '2021/1/2']"
