Day,Month,Year,Time,Digit1,Digit2,Digit3,Digit4,Digit5,Digit6,Digit7,Digit8,Digit9,Digit10
14,12,2020,7,1,5,9,11,17,18,20,29,30,31
14,12,2020,5,1,12,15,17,23,26,32,33,36,43
14,12,2020,3,1,4,6,7,8,14,19,21,24,25
14,12,2020,6,1,2,9,14,15,21,40,41,44,46
14,12,2020,4,3,14,16,22,29,33,34,36,41,42
14,12,2020,8,7,8,15,17,21,27,29,31,33,36
15,12,2020,3,4,7,9,10,13,19,24,26,30,31
15,12,2020,4,6,7,9,19,22,23,30,31,32,33
15,12,2020,5,3,6,8,24,28,37,43,51,52,57
15,12,2020,6,5,6,7,12,16,17,18,23,35,39
15,12,2020,7,3,4,6,10,11,17,22,33,36,37
15,12,2020,8,6,7,11,16,17,20,29,33,42,43
16,12,2020,6,1,3,4,17,22,26,30,32,33,46
16,12,2020,8,7,9,19,24,26,28,30,31,34,36
16,12,2020,4,9,16,21,23,24,27,31,32,34,40
16,12,2020,3,1,5,10,16,26,28,30,36,41,43
16,12,2020,7,5,6,9,23,24,27,34,36,37,40
16,12,2020,5,2,6,22,25,35,40,43,46,48,51
17,12,2020,6,1,3,5,11,18,19,20,24,36,38
17,12,2020,3,5,6,8,12,13,14,15,19,20,21
17,12,2020,7,1,5,7,8,9,10,23,25,33,36
17,12,2020,5,5,8,9,10,12,19,20,21,22,24
17,12,2020,4,2,5,6,9,15,16,18,22,27,28
17,12,2020,8,6,10,17,18,20,30,34,40,41,43
18,12,2020,7,6,9,12,17,20,26,32,36,41,48
18,12,2020,6,4,6,13,14,15,21,30,33,34,37
18,12,2020,8,6,8,13,19,20,29,33,38,39,41
18,12,2020,5,3,7,14,18,27,29,30,34,37,39
18,12,2020,3,2,11,13,14,15,18,19,21,25,40
18,12,2020,4,3,13,14,18,21,28,30,31,32,34
19,12,2020,4,3,4,15,16,18,20,22,27,31,34
19,12,2020,8,7,11,13,20,23,31,36,40,44,47
19,12,2020,7,6,11,13,15,17,24,28,36,47,53
19,12,2020,6,4,5,8,15,17,19,23,28,35,37
19,12,2020,3,9,10,17,18,19,20,21,33,38,42
19,12,2020,5,10,15,16,17,23,24,29,34,35,39
20,12,2020,7,1,3,9,11,13,23,31,41,45,46
20,12,2020,6,1,5,8,10,13,29,30,31,34,48
20,12,2020,4,3,5,8,12,13,15,19,25,34,35
20,12,2020,5,2,8,9,10,11,21,26,34,36,39
20,12,2020,8,1,6,9,10,18,19,25,26,28,34
20,12,2020,3,1,3,4,10,11,14,18,24,32,38
21,12,2020,7,8,9,10,20,23,26,27,31,36,39
21,12,2020,5,7,8,9,10,13,14,15,23,25,37
21,12,2020,3,1,3,5,10,17,18,23,30,34,52
21,12,2020,8,8,10,12,13,14,18,23,28,31,39
21,12,2020,4,1,4,6,13,14,23,40,46,48,50
21,12,2020,6,5,6,13,17,21,22,32,35,40,47
22,12,2020,3,3,5,7,14,18,19,21,29,35,38
22,12,2020,8,3,7,17,25,27,30,36,37,38,40
22,12,2020,4,1,5,12,14,17,23,25,29,32,34
22,12,2020,5,1,4,6,7,13,14,15,22,24,31
22,12,2020,7,7,11,18,24,27,40,43,44,46,51
22,12,2020,6,10,11,15,18,23,24,25,26,31,37
23,12,2020,7,1,9,12,20,24,31,35,44,53,55
23,12,2020,4,2,5,7,14,15,20,21,24,33,42
23,12,2020,5,1,2,3,5,19,22,23,31,32,34
23,12,2020,3,6,10,11,18,21,25,26,33,34,35
23,12,2020,8,4,8,11,13,15,16,20,25,28,37
23,12,2020,6,2,8,10,23,26,29,31,33,34,37
24,12,2020,5,3,4,7,8,10,20,21,31,33,44
24,12,2020,6,1,4,7,9,10,11,17,22,29,32
24,12,2020,7,1,3,4,7,8,9,10,25,30,38
24,12,2020,3,1,5,14,24,26,27,28,29,33,36
24,12,2020,8,5,21,25,29,30,31,32,35,38,49
24,12,2020,4,1,10,17,18,19,25,31,34,37,39
25,12,2020,6,8,10,12,15,18,26,29,32,33,38
25,12,2020,5,1,5,7,15,16,17,22,24,34,35
25,12,2020,8,5,6,10,13,19,22,23,24,27,31
25,12,2020,3,2,5,6,12,13,16,17,18,28,30
25,12,2020,7,5,7,8,15,16,20,22,25,28,32
25,12,2020,4,10,15,19,31,39,47,49,50,54,56
26,12,2020,8,1,6,11,13,23,24,27,32,35,39
26,12,2020,5,12,17,24,26,27,33,34,36,49,51
26,12,2020,3,7,12,13,15,17,19,24,34,35,42
26,12,2020,7,5,12,13,16,18,19,25,33,35,42
26,12,2020,6,3,8,11,12,22,28,29,33,39,42
26,12,2020,4,5,7,11,12,15,19,20,26,30,32
