Day,Month,Year,Time,Digit1,Digit2,Digit3,Digit4,Digit5,Digit6,Digit7,Digit8,Digit9,Digit10
14,12,2020,3,32,37,38,43,49,60,61,71,76,80
14,12,2020,4,46,47,52,55,58,67,70,71,76,79
14,12,2020,5,54,55,65,68,70,72,73,76,78,80
14,12,2020,6,56,59,61,62,63,65,66,70,74,77
14,12,2020,7,37,41,44,47,54,55,62,67,77,80
14,12,2020,8,43,44,46,50,56,59,60,66,72,73
15,12,2020,3,33,42,46,49,50,56,57,64,66,77
15,12,2020,4,39,44,48,51,53,54,67,70,71,76
15,12,2020,5,62,64,66,70,71,72,73,75,79,80
15,12,2020,6,44,45,53,54,56,57,59,62,64,72
15,12,2020,7,45,53,56,57,58,61,62,71,75,78
15,12,2020,8,45,53,55,56,57,58,64,65,72,77
16,12,2020,3,50,53,55,56,57,64,72,74,76,79
16,12,2020,4,48,54,56,59,63,64,69,76,77,78
16,12,2020,5,53,57,59,61,63,65,72,73,77,80
16,12,2020,6,49,59,61,66,67,68,70,72,74,80
16,12,2020,7,42,46,48,52,53,63,64,70,71,80
16,12,2020,8,40,50,51,60,63,64,66,70,72,74
17,12,2020,3,41,45,48,49,56,58,70,74,76,78
17,12,2020,4,29,31,32,42,48,49,50,62,66,67
17,12,2020,5,26,27,29,37,39,40,58,68,72,78
17,12,2020,6,41,42,55,63,65,66,68,70,74,77
17,12,2020,7,39,41,42,43,47,49,50,53,59,76
17,12,2020,8,44,57,61,62,63,64,65,68,77,79
18,12,2020,3,44,47,52,54,66,69,70,72,76,78
18,12,2020,4,41,42,44,45,54,59,61,67,71,73
18,12,2020,5,42,43,44,53,55,61,64,69,74,79
18,12,2020,6,40,43,47,48,53,59,60,63,68,74
18,12,2020,7,50,51,52,53,57,59,64,65,69,73
18,12,2020,8,43,44,49,55,56,58,69,71,75,79
19,12,2020,3,47,49,55,57,58,63,65,70,71,78
19,12,2020,4,36,38,41,45,49,54,56,58,60,72
19,12,2020,5,47,48,49,55,58,64,66,70,72,77
19,12,2020,6,39,42,46,55,63,68,71,73,74,76
19,12,2020,7,54,57,64,66,67,68,73,77,78,80
19,12,2020,8,52,55,60,61,64,67,68,71,77,78
20,12,2020,3,41,45,59,60,61,62,71,76,77,79
20,12,2020,4,39,40,55,60,67,69,70,71,76,78
20,12,2020,5,41,48,49,51,62,66,67,68,75,78
20,12,2020,6,51,53,56,61,64,67,68,70,73,77
20,12,2020,7,47,49,50,54,56,60,62,66,71,74
20,12,2020,8,35,39,42,43,44,53,66,73,77,79
21,12,2020,3,57,60,63,65,66,67,68,71,74,78
21,12,2020,4,53,57,58,60,61,69,72,75,76,78
21,12,2020,5,40,42,46,50,56,59,70,71,72,74
