Ball Numbers,1st Digit Freq,2nd Digit Freq,3rd Digit Freq,4th Digit Freq,5th Digit Freq,6th Digit Freq
1,250,0,0,0,0,0
2,196,15,0,0,0,0
3,197,23,0,0,0,0
4,172,42,4,0,0,0
5,165,41,4,0,0,0
6,193,59,5,0,0,0
7,157,49,8,0,0,0
8,160,60,11,0,0,0
9,132,73,8,2,0,0
10,130,68,19,2,0,0
11,119,92,20,1,0,0
12,118,83,23,2,0,0
13,101,81,30,1,0,0
14,105,86,21,9,1,1
15,117,90,27,4,0,0
16,89,98,40,4,1,1
17,78,95,54,11,1,1
18,71,85,36,8,0,0
19,77,114,47,9,3,3
20,71,84,53,14,3,3
21,65,94,57,17,2,2
22,65,100,51,11,4,4
23,46,89,44,18,4,4
24,50,73,69,18,5,5
25,44,109,60,22,3,3
26,34,91,66,27,5,5
27,45,74,67,27,3,3
28,47,76,62,24,5,5
29,42,86,63,21,6,6
30,29,86,69,27,5,5
31,28,76,72,37,6,6
32,25,92,79,34,14,14
33,23,78,76,43,10,10
34,25,59,83,39,16,16
35,23,74,86,43,7,7
36,24,63,68,38,12,12
37,18,78,86,45,11,11
38,20,70,84,52,18,18
39,9,63,88,65,16,16
40,19,35,95,56,22,22
41,15,54,72,65,21,21
42,11,45,77,70,22,22
43,7,42,74,85,23,23
44,9,35,79,64,30,30
45,8,43,87,66,39,39
46,9,28,75,62,32,32
47,2,21,81,86,42,42
48,4,28,80,74,48,48
49,4,30,78,89,44,44
50,7,22,56,71,33,33
51,2,28,55,102,46,46
52,5,16,66,95,52,52
53,3,12,53,75,54,54
54,2,24,58,81,51,51
55,1,23,58,97,59,59
56,2,17,61,88,55,55
57,2,9,52,81,63,63
58,2,12,38,72,70,70
59,2,11,36,83,59,59
60,0,9,33,70,70,70
61,1,14,39,81,72,72
62,1,9,43,79,82,82
63,1,5,50,75,70,70
64,0,8,38,67,74,74
65,1,5,23,81,106,106
66,1,4,23,69,111,111
67,0,4,19,73,94,94
68,0,7,27,69,90,90
69,0,3,16,69,87,87
70,0,2,24,52,94,94
71,0,3,9,60,91,91
72,0,2,10,56,103,103
73,0,1,10,39,98,98
74,0,0,7,47,102,102
75,0,0,12,47,98,98
76,0,0,8,37,106,106
77,0,0,6,35,111,111
78,0,0,3,30,97,97
79,0,0,3,27,90,90
80,0,0,4,20,86,86
81,0,0,1,26,85,85
82,0,1,0,8,104,104
83,0,0,1,6,81,81
84,0,0,0,12,69,69
85,0,0,1,2,55,55
86,0,0,0,4,52,52
87,0,0,0,2,41,41
88,0,0,0,1,23,23
89,0,0,0,0,13,13
90,0,0,0,0,0,0
