Date,Day,Month,Year,data_4th_Digit,OE,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,PRECTOTCORR
1997-12-3,3,12,1997,20,Odd,8.48,4.61,6.55,7.95,5.73,11.27,5.54,0.93
1997-12-6,6,12,1997,2,Odd,7.45,2.4,4.93,7.15,12.12,13.76,1.64,0.04
1997-12-10,10,12,1997,1,Odd,8.84,5.39,7.12,7.52,10.19,14.52,4.33,0.57
1997-12-13,13,12,1997,5,Odd,8.65,3.4,6.02,7.65,12.05,16.51,4.46,0.0
1997-12-17,17,12,1997,10,Even,9.91,6.57,8.24,9.32,9.53,14.9,5.37,0.16
1997-12-20,20,12,1997,3,Even,12.94,10.84,11.89,12.55,4.44,15.09,10.65,6.75
1997-12-24,24,12,1997,13,Odd,10.01,5.68,7.84,8.45,8.19,14.98,6.8,0.27
1997-12-27,27,12,1997,8,Odd,9.0,7.33,8.16,8.61,8.33,12.12,3.8,2.45
1997-12-31,31,12,1997,34,Even,8.61,7.12,7.87,8.12,8.44,13.89,5.45,0.12
1998-1-3,3,1,1998,2,Even,10.29,8.12,9.2,9.76,7.73,15.5,7.76,0.36
1998-1-7,7,1,1998,20,Odd,9.23,7.19,8.21,7.65,9.41,14.7,5.3,0.0
1998-1-10,10,1,1998,24,Even,6.94,2.9,4.91,5.01,8.96,12.87,3.9,0.0
1998-1-14,14,1,1998,16,Even,10.76,9.54,10.15,10.43,5.45,13.81,8.36,0.57
1998-1-17,17,1,1998,29,Odd,8.48,6.28,7.38,8.16,4.66,11.4,6.75,2.76
1998-1-21,21,1,1998,22,Odd,6.12,-0.02,3.05,5.71,5.81,9.65,3.84,0.19
1998-1-24,24,1,1998,3,Odd,5.48,0.24,2.86,4.36,10.44,11.26,0.83,0.02
1998-1-28,28,1,1998,2,Odd,6.19,1.37,3.78,5.65,6.86,10.26,3.4,0.0
