Date of Draw,1st_D,2nd_D,3rd_D,4th_D,5th_D,6th_D,1st_Del,2nd_Del,3rd_Del,4th_Del,5th_Del,6th_Del
2009/1/2,16,19,29,34,48,64,0,0,0,0,0,0
2009/1/3,17,24,25,40,58,64,0,0,0,0,0,1
2009/1/7,14,31,35,40,50,66,0,0,0,0,0,4
2009/1/8,14,23,24,41,71,73,0,0,0,0,1,5
2009/1/10,2,15,35,54,60,78,0,0,0,0,0,3
2009/1/13,9,14,21,55,66,90,0,0,0,0,6,6
2009/1/15,8,15,24,25,44,55,0,0,2,5,12,12
2009/1/17,13,17,25,55,64,85,0,0,4,14,14,15
2009/1/20,19,35,49,52,75,79,0,0,0,0,13,18
2009/1/22,1,2,40,52,67,82,0,0,0,2,12,19
2009/1/24,2,4,13,23,28,68,0,0,0,7,14,16
2009/1/27,20,31,44,51,65,74,0,0,0,0,12,20
2009/1/29,27,32,55,65,76,86,0,0,0,0,2,16
2009/1/31,1,3,8,38,83,88,0,0,0,0,9,16
2009/2/3,11,13,17,49,51,61,0,0,7,14,17,31
2009/2/5,7,18,27,33,35,43,0,0,0,0,7,29
2009/2/7,8,23,58,61,76,79,4,9,18,23,30,35
2009/2/10,11,18,47,80,89,90,0,0,0,5,7,28
2009/2/12,3,24,31,32,61,85,0,5,9,12,14,26
2009/2/14,7,32,43,50,68,73,9,9,16,21,37,38
2009/2/17,17,20,63,78,82,85,0,0,5,10,21,26
2009/2/19,28,30,32,33,34,52,0,14,14,21,26,30
2009/2/21,6,39,40,41,50,54,0,0,4,10,10,12
2009/2/24,33,38,47,67,68,81,0,14,19,24,31,33
2009/2/26,10,19,25,35,51,73,0,9,16,22,24,30
2009/2/28,6,26,56,65,69,82,0,0,0,1,3,7
2009/3/3,20,39,42,45,74,77,0,0,0,0,2,10
2009/3/5,29,36,37,40,70,75,0,0,0,12,24,26
2009/3/7,4,14,45,53,77,84,0,0,2,4,4,21
2009/3/10,33,57,63,65,78,88,0,0,11,21,26,33
2009/3/12,2,10,19,36,78,90,7,7,14,22,25,28
2009/3/14,10,15,46,51,65,75,0,12,15,16,21,31
2009/3/17,3,38,44,50,53,70,3,10,12,14,22,28
2009/3/19,1,39,40,52,54,64,1,4,21,26,27,36
2009/3/21,4,39,43,59,74,90,0,1,9,16,20,28
2009/3/24,1,9,11,21,36,47,4,6,11,15,19,26
2009/3/26,13,21,70,71,72,85,0,1,6,6,21,28
2009/3/28,1,10,55,61,72,77,2,10,17,25,30,30
2009/3/31,2,4,16,20,29,53,2,16,18,24,26,28
2009/4/2,3,12,16,30,84,89,0,2,17,19,20,26
2009/4/4,2,3,4,27,34,42,6,21,24,27,30,32
2009/4/7,3,37,54,65,87,89,0,8,22,23,24,33
2009/4/9,2,23,36,62,75,79,0,7,11,15,15,35
2009/4/11,6,34,59,61,83,90,6,19,21,22,31,31
2009/4/14,2,5,20,43,64,83,0,7,9,16,22,33
2009/4/16,3,9,17,38,54,62,0,7,13,29,33,33
2009/4/18,20,46,48,62,71,86,7,9,11,15,24,35
2009/4/21,19,22,26,59,61,71,0,5,16,16,27,31
2009/4/23,24,29,40,71,74,78,3,4,5,20,29,36
2009/4/27,7,40,54,64,69,71,3,3,11,22,33,35
2009/4/28,11,12,32,55,72,87,9,16,21,26,27,33
2009/4/30,28,64,65,77,85,89,0,10,11,22,28,38
2009/5/2,2,25,31,38,45,84,7,21,23,29,29,34
2009/5/5,7,12,19,43,71,77,3,3,11,19,30,33
2009/5/7,31,43,67,69,76,80,3,12,14,21,26,32
2009/5/9,9,11,40,48,68,84,9,15,20,27,28,28
2009/5/12,4,9,22,23,47,73,4,21,23,28,29,40
2009/5/14,1,22,41,69,73,89,3,6,7,23,24,25
2009/5/16,39,50,55,57,78,82,6,12,18,27,27,31
2009/5/19,36,55,62,66,81,85,0,6,14,29,30,34
2009/5/21,11,14,17,24,39,48,5,7,20,23,33,33
2009/5/23,9,25,29,43,48,54,2,2,5,9,12,33
2009/5/26,6,33,35,64,66,77,3,4,5,7,24,24
2009/5/28,5,27,37,63,67,77,5,5,16,24,26,26
2009/5/30,1,13,17,31,58,62,3,7,13,17,23,35
2009/6/3,32,33,37,43,44,79,1,6,13,13,22,22
2009/6/4,7,57,60,67,69,90,2,10,14,19,24,31
2009/6/6,8,14,16,18,56,60,15,21,25,32,35,36
2009/6/9,14,17,39,47,58,85,1,9,13,17,19,26
2009/6/11,4,10,24,59,72,83,3,5,12,18,19,33
2009/6/13,8,19,25,73,76,84,1,7,27,28,32,36
2009/6/16,6,14,39,47,63,82,2,8,8,9,16,25
2009/6/18,15,27,31,52,74,77,10,17,18,25,26,31
2009/6/20,1,7,38,58,62,78,4,9,16,18,24,29
2009/6/23,2,3,37,38,58,59,8,8,17,19,24,27
2009/6/25,23,36,38,52,62,63,0,1,9,17,21,30
2009/6/27,29,56,66,77,88,89,1,6,20,26,32,33
2009/6/30,12,19,24,51,56,78,3,6,17,18,23,24
2009/7/2,12,13,38,46,47,72,6,18,19,26,28,36
2009/7/4,6,35,53,67,75,89,5,8,8,13,27,33
2009/7/7,41,44,55,56,68,79,4,8,10,15,17,30
2009/7/9,7,29,57,60,79,87,8,10,12,13,25,37
2009/7/11,8,21,32,33,60,69,8,14,14,16,21,25
