Day,Month,Year,Number 1
2,1,2009,16
3,1,2009,17
7,1,2009,14
8,1,2009,14
10,1,2009,2
13,1,2009,9
15,1,2009,8
17,1,2009,13
20,1,2009,19
22,1,2009,1
24,1,2009,2
27,1,2009,20
29,1,2009,27
31,1,2009,1
3,2,2009,11
5,2,2009,7
7,2,2009,8
10,2,2009,11
12,2,2009,3
14,2,2009,7
17,2,2009,17
19,2,2009,28
21,2,2009,6
24,2,2009,33
26,2,2009,10
28,2,2009,6
3,3,2009,20
5,3,2009,29
7,3,2009,4
10,3,2009,33
12,3,2009,2
14,3,2009,10
17,3,2009,3
19,3,2009,1
21,3,2009,4
24,3,2009,1
26,3,2009,13
28,3,2009,1
31,3,2009,2
2,4,2009,3
4,4,2009,2
7,4,2009,3
9,4,2009,2
11,4,2009,6
14,4,2009,2
16,4,2009,3
18,4,2009,20
21,4,2009,19
23,4,2009,24
27,4,2009,7
28,4,2009,11
30,4,2009,28
2,5,2009,2
5,5,2009,7
7,5,2009,31
9,5,2009,9
12,5,2009,4
14,5,2009,1
16,5,2009,39
19,5,2009,36
21,5,2009,11
23,5,2009,9
26,5,2009,6
28,5,2009,5
30,5,2009,1
3,6,2009,32
4,6,2009,7
6,6,2009,8
9,6,2009,14
11,6,2009,4
13,6,2009,8
16,6,2009,6
18,6,2009,15
20,6,2009,1
23,6,2009,2
25,6,2009,23
27,6,2009,29
30,6,2009,12
2,7,2009,12
4,7,2009,6
7,7,2009,41
9,7,2009,7
11,7,2009,8
14,7,2009,33
16,7,2009,6
18,7,2009,4
21,7,2009,27
23,7,2009,9
25,7,2009,7
28,7,2009,1
30,7,2009,2
1,8,2009,17
4,8,2009,4
6,8,2009,40
8,8,2009,24
11,8,2009,26
13,8,2009,11
17,8,2009,4
18,8,2009,2
20,8,2009,2
22,8,2009,10
25,8,2009,4
27,8,2009,15
29,8,2009,15
1,9,2009,12
3,9,2009,18
5,9,2009,15
8,9,2009,6
10,9,2009,17
12,9,2009,5
15,9,2009,26
17,9,2009,19
19,9,2009,4
22,9,2009,17
24,9,2009,5
26,9,2009,34
29,9,2009,10
1,10,2009,4
3,10,2009,28
6,10,2009,23
8,10,2009,1
10,10,2009,9
13,10,2009,5
15,10,2009,3
17,10,2009,8
20,10,2009,41
22,10,2009,29
24,10,2009,6
27,10,2009,38
29,10,2009,29
31,10,2009,13
3,11,2009,22
5,11,2009,12
7,11,2009,9
10,11,2009,24
12,11,2009,37
14,11,2009,15
17,11,2009,16
19,11,2009,1
21,11,2009,36
24,11,2009,19
26,11,2009,26
28,11,2009,3
1,12,2009,21
3,12,2009,19
5,12,2009,20
9,12,2009,9
10,12,2009,33
12,12,2009,10
15,12,2009,1
17,12,2009,1
19,12,2009,9
22,12,2009,6
24,12,2009,5
28,12,2009,34
29,12,2009,11
31,12,2009,40
2,1,2010,10
5,1,2010,44
7,1,2010,13
9,1,2010,1
12,1,2010,26
14,1,2010,4
16,1,2010,14
19,1,2010,5
21,1,2010,11
23,1,2010,2
26,1,2010,6
28,1,2010,21
30,1,2010,4
2,2,2010,8
4,2,2010,11
6,2,2010,24
9,2,2010,20
11,2,2010,4
13,2,2010,1
16,2,2010,46
18,2,2010,7
20,2,2010,19
23,2,2010,12
25,2,2010,1
27,2,2010,13
2,3,2010,4
4,3,2010,17
6,3,2010,16
9,3,2010,26
11,3,2010,7
13,3,2010,8
16,3,2010,6
18,3,2010,4
20,3,2010,4
23,3,2010,20
25,3,2010,6
27,3,2010,44
30,3,2010,8
1,4,2010,23
3,4,2010,2
6,4,2010,1
8,4,2010,7
10,4,2010,6
13,4,2010,33
15,4,2010,34
17,4,2010,30
20,4,2010,4
22,4,2010,6
24,4,2010,6
27,4,2010,4
29,4,2010,31
3,5,2010,19
4,5,2010,5
6,5,2010,2
8,5,2010,18
11,5,2010,13
13,5,2010,19
15,5,2010,22
18,5,2010,50
20,5,2010,19
22,5,2010,31
25,5,2010,6
27,5,2010,9
29,5,2010,22
1,6,2010,3
3,6,2010,30
5,6,2010,1
8,6,2010,24
10,6,2010,16
12,6,2010,16
15,6,2010,48
17,6,2010,20
19,6,2010,3
22,6,2010,9
24,6,2010,12
26,6,2010,9
29,6,2010,1
1,7,2010,1
3,7,2010,14
6,7,2010,9
8,7,2010,23
10,7,2010,10
13,7,2010,9
15,7,2010,4
17,7,2010,1
20,7,2010,19
22,7,2010,30
24,7,2010,37
27,7,2010,37
29,7,2010,6
31,7,2010,14
3,8,2010,8
5,8,2010,11
7,8,2010,1
10,8,2010,1
12,8,2010,2
14,8,2010,6
17,8,2010,4
19,8,2010,9
21,8,2010,14
24,8,2010,50
26,8,2010,13
28,8,2010,6
31,8,2010,10
2,9,2010,18
4,9,2010,13
7,9,2010,3
9,9,2010,8
11,9,2010,10
14,9,2010,6
16,9,2010,5
18,9,2010,4
21,9,2010,46
