Day,Month,Year,Number 4
2,1,2009,34
3,1,2009,40
7,1,2009,40
8,1,2009,41
10,1,2009,54
13,1,2009,55
15,1,2009,25
17,1,2009,55
20,1,2009,52
22,1,2009,52
24,1,2009,23
27,1,2009,51
29,1,2009,65
31,1,2009,38
3,2,2009,49
5,2,2009,33
7,2,2009,61
10,2,2009,80
12,2,2009,32
14,2,2009,50
17,2,2009,78
19,2,2009,33
21,2,2009,41
24,2,2009,67
26,2,2009,35
28,2,2009,65
3,3,2009,45
5,3,2009,40
7,3,2009,53
10,3,2009,65
12,3,2009,36
14,3,2009,51
17,3,2009,50
19,3,2009,52
21,3,2009,59
24,3,2009,21
26,3,2009,71
28,3,2009,61
31,3,2009,20
2,4,2009,30
4,4,2009,27
7,4,2009,65
9,4,2009,62
11,4,2009,61
14,4,2009,43
16,4,2009,38
18,4,2009,62
21,4,2009,59
23,4,2009,71
27,4,2009,64
28,4,2009,55
30,4,2009,77
2,5,2009,38
5,5,2009,43
7,5,2009,69
9,5,2009,48
12,5,2009,23
14,5,2009,69
16,5,2009,57
19,5,2009,66
21,5,2009,24
23,5,2009,43
26,5,2009,64
28,5,2009,63
30,5,2009,31
3,6,2009,43
4,6,2009,67
6,6,2009,18
9,6,2009,47
11,6,2009,59
13,6,2009,73
16,6,2009,47
18,6,2009,52
20,6,2009,58
23,6,2009,38
25,6,2009,52
27,6,2009,77
30,6,2009,51
2,7,2009,46
4,7,2009,67
7,7,2009,56
9,7,2009,60
11,7,2009,33
14,7,2009,51
16,7,2009,48
18,7,2009,56
21,7,2009,49
23,7,2009,69
25,7,2009,41
28,7,2009,40
30,7,2009,81
1,8,2009,31
4,8,2009,72
6,8,2009,56
8,8,2009,61
11,8,2009,50
13,8,2009,63
17,8,2009,28
18,8,2009,49
20,8,2009,67
22,8,2009,45
25,8,2009,48
27,8,2009,69
29,8,2009,34
1,9,2009,38
3,9,2009,58
5,9,2009,49
8,9,2009,71
10,9,2009,47
12,9,2009,45
15,9,2009,72
17,9,2009,63
19,9,2009,21
22,9,2009,73
24,9,2009,30
26,9,2009,73
29,9,2009,45
1,10,2009,52
3,10,2009,60
6,10,2009,69
8,10,2009,65
10,10,2009,52
13,10,2009,43
15,10,2009,55
17,10,2009,47
20,10,2009,55
22,10,2009,64
24,10,2009,38
27,10,2009,45
29,10,2009,52
31,10,2009,49
3,11,2009,66
5,11,2009,57
7,11,2009,74
10,11,2009,59
12,11,2009,66
14,11,2009,40
17,11,2009,30
19,11,2009,55
21,11,2009,57
24,11,2009,71
26,11,2009,50
28,11,2009,67
1,12,2009,51
3,12,2009,49
5,12,2009,74
9,12,2009,57
10,12,2009,50
12,12,2009,55
15,12,2009,53
17,12,2009,53
19,12,2009,34
22,12,2009,52
24,12,2009,52
28,12,2009,62
29,12,2009,62
31,12,2009,51
2,1,2010,63
5,1,2010,68
7,1,2010,34
9,1,2010,45
12,1,2010,55
14,1,2010,66
16,1,2010,33
19,1,2010,59
21,1,2010,62
23,1,2010,70
26,1,2010,23
28,1,2010,27
30,1,2010,55
2,2,2010,40
4,2,2010,49
6,2,2010,51
9,2,2010,40
11,2,2010,58
13,2,2010,49
16,2,2010,68
18,2,2010,51
20,2,2010,67
23,2,2010,44
25,2,2010,68
27,2,2010,55
2,3,2010,35
4,3,2010,48
6,3,2010,35
9,3,2010,52
11,3,2010,46
13,3,2010,14
16,3,2010,27
18,3,2010,58
20,3,2010,47
23,3,2010,54
25,3,2010,69
27,3,2010,65
30,3,2010,69
1,4,2010,38
3,4,2010,47
6,4,2010,68
8,4,2010,50
10,4,2010,64
13,4,2010,55
15,4,2010,39
17,4,2010,67
20,4,2010,41
22,4,2010,44
24,4,2010,46
27,4,2010,59
29,4,2010,54
