Day,Month,Year,Time,Digit1,Digit2,Digit3,Digit4,Digit5,Digit6,Digit7,Digit8,Digit9,Digit10,Digit11,Digit12,Digit13,Digit14,Digit15,Digit16,Digit17,Digit18,Digit19,Digit20
14,12,2020,3,1,4,6,7,8,14,19,21,24,25,32,37,38,43,49,60,61,71,76,80
14,12,2020,8,7,8,15,17,21,27,29,31,33,36,43,44,46,50,56,59,60,66,72,73
14,12,2020,5,1,12,15,17,23,26,32,33,36,43,54,55,65,68,70,72,73,76,78,80
14,12,2020,7,1,5,9,11,17,18,20,29,30,31,37,41,44,47,54,55,62,67,77,80
14,12,2020,4,3,14,16,22,29,33,34,36,41,42,46,47,52,55,58,67,70,71,76,79
14,12,2020,6,1,2,9,14,15,21,40,41,44,46,56,59,61,62,63,65,66,70,74,77
15,12,2020,8,6,7,11,16,17,20,29,33,42,43,45,53,55,56,57,58,64,65,72,77
15,12,2020,7,3,4,6,10,11,17,22,33,36,37,45,53,56,57,58,61,62,71,75,78
15,12,2020,4,6,7,9,19,22,23,30,31,32,33,39,44,48,51,53,54,67,70,71,76
15,12,2020,5,3,6,8,24,28,37,43,51,52,57,62,64,66,70,71,72,73,75,79,80
15,12,2020,6,5,6,7,12,16,17,18,23,35,39,44,45,53,54,56,57,59,62,64,72
15,12,2020,3,4,7,9,10,13,19,24,26,30,31,33,42,46,49,50,56,57,64,66,77
16,12,2020,3,1,5,10,16,26,28,30,36,41,43,50,53,55,56,57,64,72,74,76,79
16,12,2020,6,1,3,4,17,22,26,30,32,33,46,49,59,61,66,67,68,70,72,74,80
16,12,2020,4,9,16,21,23,24,27,31,32,34,40,48,54,56,59,63,64,69,76,77,78
16,12,2020,5,2,6,22,25,35,40,43,46,48,51,53,57,59,61,63,65,72,73,77,80
16,12,2020,8,7,9,19,24,26,28,30,31,34,36,40,50,51,60,63,64,66,70,72,74
16,12,2020,7,5,6,9,23,24,27,34,36,37,40,42,46,48,52,53,63,64,70,71,80
17,12,2020,3,5,6,8,12,13,14,15,19,20,21,41,45,48,49,56,58,70,74,76,78
17,12,2020,8,6,10,17,18,20,30,34,40,41,43,44,57,61,62,63,64,65,68,77,79
17,12,2020,4,2,5,6,9,15,16,18,22,27,28,29,31,32,42,48,49,50,62,66,67
17,12,2020,5,5,8,9,10,12,19,20,21,22,24,26,27,29,37,39,40,58,68,72,78
17,12,2020,7,1,5,7,8,9,10,23,25,33,36,39,41,42,43,47,49,50,53,59,76
17,12,2020,6,1,3,5,11,18,19,20,24,36,38,41,42,55,63,65,66,68,70,74,77
18,12,2020,7,6,9,12,17,20,26,32,36,41,48,50,51,52,53,57,59,64,65,69,73
