Date,1st_D,2nd_D,3rd_D,4th_D,5th_D,6th_D,Odd,Even,Prime,Non_Prime,% ODD,% EVEN,% Prime,% NonPrime
2009/1/3,17,24,25,40,58,64,2,4,1,5,33,67,17,83
2009/1/8,14,23,24,41,71,73,4,2,4,2,67,33,67,33
2009/1/10,2,15,35,54,60,78,2,4,1,5,33,67,17,83
2009/1/13,9,14,21,55,66,90,3,3,0,6,50,50,0,100
2009/1/15,8,15,24,25,44,55,3,3,0,6,50,50,0,100
2009/1/17,13,17,25,55,64,85,5,1,2,4,83,17,33,67
2009/1/20,19,35,49,52,75,79,5,1,2,4,83,17,33,67
2009/1/22,1,2,40,52,67,82,2,4,3,3,33,67,50,50
2009/1/24,2,4,13,23,28,68,2,4,3,3,33,67,50,50
2009/1/27,20,31,44,51,65,74,3,3,1,5,50,50,17,83
2009/1/29,27,32,55,65,76,86,3,3,0,6,50,50,0,100
2009/1/31,1,3,8,38,83,88,3,3,3,3,50,50,50,50
2009/2/3,11,13,17,49,51,61,6,0,4,2,100,0,67,33
2009/2/5,7,18,27,33,35,43,5,1,2,4,83,17,33,67
2009/2/7,8,23,58,61,76,79,3,3,3,3,50,50,50,50
2009/2/10,11,18,47,80,89,90,3,3,3,3,50,50,50,50
2009/2/12,3,24,31,32,61,85,4,2,3,3,67,33,50,50
2009/2/14,7,32,43,50,68,73,3,3,3,3,50,50,50,50
2009/2/17,17,20,63,78,82,85,3,3,1,5,50,50,17,83
2009/2/19,28,30,32,33,34,52,1,5,0,6,17,83,0,100
2009/2/21,6,39,40,41,50,54,2,4,1,5,33,67,17,83
2009/2/24,33,38,47,67,68,81,4,2,2,4,67,33,33,67
2009/2/26,10,19,25,35,51,73,5,1,2,4,83,17,33,67
2009/2/28,6,26,56,65,69,82,2,4,0,6,33,67,0,100
2009/3/3,20,39,42,45,74,77,3,3,0,6,50,50,0,100
2009/3/5,29,36,37,40,70,75,3,3,2,4,50,50,33,67
2009/3/7,4,14,45,53,77,84,3,3,1,5,50,50,17,83
2009/3/10,33,57,63,65,78,88,4,2,0,6,67,33,0,100
2009/3/12,2,10,19,36,78,90,1,5,2,4,17,83,33,67
2009/3/14,10,15,46,51,65,75,4,2,0,6,67,33,0,100
2009/3/17,3,38,44,50,53,70,2,4,2,4,33,67,33,67
2009/3/19,1,39,40,52,54,64,2,4,1,5,33,67,17,83
2009/3/21,4,39,43,59,74,90,3,3,2,4,50,50,33,67
2009/3/24,1,9,11,21,36,47,5,1,3,3,83,17,50,50
2009/3/26,13,21,70,71,72,85,4,2,2,4,67,33,33,67
2009/3/28,1,10,55,61,72,77,4,2,2,4,67,33,33,67
2009/3/31,2,4,16,20,29,53,2,4,3,3,33,67,50,50
2009/4/2,3,12,16,30,84,89,2,4,2,4,33,67,33,67
2009/4/4,2,3,4,27,34,42,2,4,2,4,33,67,33,67
2009/4/7,3,37,54,65,87,89,5,1,3,3,83,17,50,50
2009/4/9,2,23,36,62,75,79,3,3,3,3,50,50,50,50
2009/4/11,6,34,59,61,83,90,3,3,3,3,50,50,50,50
2009/4/14,2,5,20,43,64,83,3,3,4,2,50,50,67,33
2009/4/16,3,9,17,38,54,62,3,3,2,4,50,50,33,67
2009/4/18,20,46,48,62,71,86,1,5,1,5,17,83,17,83
2009/4/21,19,22,26,59,61,71,4,2,4,2,67,33,67,33
2009/4/23,24,29,40,71,74,78,2,4,2,4,33,67,33,67
2009/4/28,11,12,32,55,72,87,3,3,1,5,50,50,17,83
2009/4/30,28,64,65,77,85,89,4,2,1,5,67,33,17,83
2009/5/2,2,25,31,38,45,84,3,3,2,4,50,50,33,67
2009/5/5,7,12,19,43,71,77,5,1,4,2,83,17,67,33
2009/5/7,31,43,67,69,76,80,4,2,3,3,67,33,50,50
2009/5/9,9,11,40,48,68,84,2,4,1,5,33,67,17,83
2009/5/12,4,9,22,23,47,73,4,2,3,3,67,33,50,50
2009/5/14,1,22,41,69,73,89,5,1,4,2,83,17,67,33
2009/5/16,39,50,55,57,78,82,3,3,0,6,50,50,0,100
2009/5/19,36,55,62,66,81,85,3,3,0,6,50,50,0,100
2009/5/21,11,14,17,24,39,48,3,3,2,4,50,50,33,67
2009/5/23,9,25,29,43,48,54,4,2,2,4,67,33,33,67
2009/5/26,6,33,35,64,66,77,3,3,0,6,50,50,0,100
2009/5/28,5,27,37,63,67,77,6,0,3,3,100,0,50,50
2009/5/30,1,13,17,31,58,62,4,2,4,2,67,33,67,33
2009/6/4,7,57,60,67,69,90,4,2,2,4,67,33,33,67
2009/6/6,8,14,16,18,56,60,0,6,0,6,0,100,0,100
2009/6/9,14,17,39,47,58,85,4,2,2,4,67,33,33,67
2009/6/11,4,10,24,59,72,83,2,4,2,4,33,67,33,67
2009/6/13,8,19,25,73,76,84,3,3,2,4,50,50,33,67
2009/6/16,6,14,39,47,63,82,3,3,1,5,50,50,17,83
2009/6/18,15,27,31,52,74,77,4,2,1,5,67,33,17,83
2009/6/20,1,7,38,58,62,78,2,4,2,4,33,67,33,67
2009/6/23,2,3,37,38,58,59,3,3,4,2,50,50,67,33
2009/6/25,23,36,38,52,62,63,2,4,1,5,33,67,17,83
2009/6/27,29,56,66,77,88,89,3,3,2,4,50,50,33,67
2009/6/30,12,19,24,51,56,78,2,4,1,5,33,67,17,83
2009/7/2,12,13,38,46,47,72,2,4,2,4,33,67,33,67
2009/7/4,6,35,53,67,75,89,5,1,3,3,83,17,50,50
2009/7/7,41,44,55,56,68,79,3,3,2,4,50,50,33,67
2009/7/9,7,29,57,60,79,87,5,1,3,3,83,17,50,50
2009/7/11,8,21,32,33,60,69,3,3,0,6,50,50,0,100
2009/7/14,33,35,47,51,62,89,5,1,2,4,83,17,33,67
2009/7/16,6,35,38,48,58,76,1,5,0,6,17,83,0,100
2009/7/18,4,32,34,56,61,82,1,5,1,5,17,83,17,83
2009/7/21,27,32,40,49,75,82,3,3,0,6,50,50,0,100
2009/7/23,9,12,60,69,72,89,3,3,1,5,50,50,17,83
2009/7/25,7,35,36,41,45,88,4,2,2,4,67,33,33,67
2009/7/28,1,21,29,40,63,70,4,2,2,4,67,33,33,67
2009/7/30,2,68,77,81,83,84,3,3,2,4,50,50,33,67
2009/8/1,17,21,23,31,33,37,6,0,4,2,100,0,67,33
2009/8/4,4,8,51,72,74,88,1,5,0,6,17,83,0,100
2009/8/6,40,41,49,56,61,63,4,2,2,4,67,33,33,67
2009/8/8,24,51,58,61,74,77,3,3,1,5,50,50,17,83
2009/8/11,26,29,40,50,54,72,1,5,1,5,17,83,17,83
2009/8/13,11,29,56,63,88,90,3,3,2,4,50,50,33,67
2009/8/18,2,19,43,49,77,82,4,2,3,3,67,33,50,50
2009/8/20,2,16,38,67,70,84,1,5,2,4,17,83,33,67
2009/8/22,10,11,27,45,79,88,4,2,2,4,67,33,33,67
2009/8/25,4,5,22,48,53,86,2,4,2,4,33,67,33,67
2009/8/27,15,20,36,69,74,87,3,3,0,6,50,50,0,100
2009/8/29,15,19,26,34,67,69,4,2,2,4,67,33,33,67
2009/9/1,12,14,19,38,41,45,3,3,2,4,50,50,33,67
2009/9/3,18,54,56,58,62,66,0,6,0,6,0,100,0,100
2009/9/5,15,31,39,49,64,85,5,1,1,5,83,17,17,83
2009/9/8,6,13,41,71,75,86,4,2,3,3,67,33,50,50
2009/9/10,17,39,41,47,77,83,6,0,4,2,100,0,67,33
2009/9/12,5,21,26,45,47,49,5,1,2,4,83,17,33,67
