Pairs,Frequency,Dates
29-52-59,2,"2017/7/25,2009/10/29"
39-58-85,2,"2015/12/1,2009/6/9"
27-32-55-65-76-86,1,2009/1/29
7-51,5,"2022/8/23,2014/9/13,2013/9/12,2011/7/5,2010/2/18"
37-48,9,"2022/3/24,2020/9/22,2019/11/7,2019/7/2,2017/7/6,2015/1/10,2015/1/5,2013/10/31,2011/3/29"
63-81,12,"2021/11/6,2021/5/22,2020/1/11,2019/6/18,2018/7/10,2017/12/5,2016/7/12,2015/1/24,2012/6/7,2011/7/23,2010/11/18,2010/1/2"
9-31-39-44-72-81,1,2012/11/8
11-59-74,2,"2020/6/16,2013/1/5"
15-45-82,3,"2016/7/30,2014/12/16,2013/9/5"
43-77,9,"2017/12/19,2017/1/31,2015/5/7,2013/5/30,2012/2/28,2010/11/27,2009/10/27,2009/8/18,2009/5/5"
30-52-89,2,"2011/9/15,2010/12/18"
67-70,11,"2019/2/19,2018/6/23,2016/9/29,2014/11/25,2014/4/24,2013/5/7,2012/11/20,2010/9/30,2010/5/8,2010/2/27,2009/8/20"
31-67,6,"2021/9/7,2021/5/20,2018/4/24,2016/12/15,2014/9/4,2009/5/7"
47-61,8,"2021/7/31,2020/10/15,2019/10/29,2017/10/24,2017/5/18,2016/4/30,2013/8/10,2010/3/20"
7-90,14,"2022/7/21,2018/3/17,2017/9/30,2016/5/5,2016/1/5,2015/3/12,2014/4/1,2014/3/1,2014/1/30,2013/9/3,2012/9/29,2012/1/7,2010/9/7,2009/6/4"
19-24,6,"2020/10/10,2019/6/1,2017/10/31,2014/6/19,2013/7/18,2009/6/30"
39-48-69-75,2,"2012/6/21,2011/9/20"
24-55-67,2,"2011/11/29,2010/9/30"
6-11-29-65-87-90,1,2019/1/29
33-47-81,2,"2010/11/18,2009/2/24"
9-27-67-80-87-89,1,2021/4/10
47-69,9,"2021/2/11,2020/11/19,2020/6/11,2016/11/26,2014/1/7,2014/1/4,2012/6/12,2010/7/27,2009/11/24"
19-41,12,"2022/10/25,2021/3/27,2020/10/24,2020/3/12,2018/7/5,2017/10/12,2015/11/12,2014/9/18,2014/8/5,2013/3/16,2012/8/14,2009/9/1"
3-10-50,2,"2012/9/18,2010/6/19"
19-42-49-83,2,"2018/5/29,2012/12/4"
31-53-67,2,"2016/12/15,2014/9/4"
1-22-41-69-73-89,1,2009/5/14
44-66-71,2,"2018/4/26,2009/11/3"
52-86,12,"2022/3/17,2021/3/25,2019/2/2,2017/8/22,2017/8/17,2016/12/12,2015/10/31,2014/4/29,2011/11/8,2011/1/22,2010/6/17,2009/11/28"
40-88,7,"2021/6/24,2020/7/9,2019/8/20,2017/8/24,2010/9/2,2010/2/6,2010/2/2"
7-78-87,2,"2020/5/16,2015/5/5"
16-23-50,2,"2022/1/25,2018/10/18"
12-20-28-57-74-85,1,2009/11/5
47-59,5,"2021/7/31,2017/7/25,2016/6/16,2015/1/27,2014/4/3"
27-52-84,2,"2019/3/26,2014/5/29"
53-54,6,"2022/3/17,2021/1/14,2018/11/17,2014/11/27,2013/5/21,2013/4/29"
32-76,9,"2022/4/19,2022/3/12,2021/8/26,2019/8/13,2017/3/21,2015/5/16,2013/2/14,2009/11/10,2009/1/29"
30-64-88,2,"2010/9/2,2010/3/30"
35-37-77,2,"2022/3/24,2021/1/2"
11-35,6,"2020/1/25,2018/3/29,2016/5/21,2013/11/30,2011/6/25,2011/1/29"
4-43-69,2,"2020/2/13,2016/9/1"
46-51,8,"2022/5/7,2020/12/22,2017/11/9,2017/7/6,2015/11/7,2014/3/4,2012/11/10,2009/3/14"
47-62,7,"2018/1/23,2016/10/8,2015/7/18,2013/3/21,2012/10/4,2010/6/3,2009/7/14"
17-19-72,3,"2019/6/1,2019/1/26,2013/7/27"
23-37-80,2,"2020/1/4,2012/3/8"
9-21-47,2,"2011/12/27,2009/3/24"
21-26-85,2,"2022/5/12,2016/11/5"
45-58-72,2,"2020/2/18,2010/9/25"
41-44-56,2,"2012/1/19,2009/7/7"
17-89,5,"2021/12/23,2019/12/23,2018/9/25,2014/10/9,2012/6/30"
51-65,10,"2021/6/22,2018/6/14,2016/12/6,2015/11/28,2015/5/21,2014/9/13,2014/3/4,2010/6/10,2009/3/14,2009/1/27"
12-53-83,3,"2013/10/29,2012/11/15,2012/1/14"
19-60,7,"2021/1/5,2019/4/2,2019/1/24,2017/9/26,2016/7/21,2015/12/10,2011/10/18"
27-49,9,"2022/10/27,2022/3/22,2019/2/7,2015/7/16,2013/8/24,2013/4/18,2011/1/27,2010/3/16,2009/7/21"
9-33,10,"2018/3/20,2015/10/24,2014/4/5,2014/2/13,2012/4/21,2011/12/31,2011/7/30,2010/7/13,2010/6/26,2009/10/10"
31-34,4,"2022/7/26,2019/9/5,2016/6/30,2012/6/9"
12-20,9,"2022/6/9,2021/10/23,2020/5/14,2019/9/12,2016/11/12,2014/9/9,2013/10/10,2011/1/3,2009/11/5"
1-24-46,2,"2012/10/16,2010/6/5"
3-38-50,2,"2011/3/5,2009/3/17"
19-56,11,"2020/3/12,2019/11/19,2017/6/10,2016/7/21,2016/5/14,2016/3/15,2016/2/2,2015/12/10,2015/11/14,2015/5/14,2009/6/30"
9-55,7,"2022/10/4,2022/3/29,2015/3/21,2011/3/1,2010/7/13,2010/6/26,2009/1/13"
1-83,14,"2022/9/20,2021/10/23,2021/7/27,2019/5/2,2018/5/24,2016/4/14,2015/12/10,2013/8/13,2012/6/16,2012/3/15,2011/12/9,2010/1/9,2009/12/17,2009/1/31"
25-51-71,2,"2022/8/18,2019/12/12"
11-20-68,2,"2016/5/21,2014/4/17"
57-85,8,"2015/3/19,2014/12/4,2014/10/25,2013/7/30,2013/7/16,2013/3/14,2011/3/8,2009/11/5"
42-52,9,"2022/4/9,2021/9/14,2021/7/3,2019/2/2,2013/11/30,2013/8/8,2013/3/30,2009/11/28,2009/10/29"
34-44-64,2,"2021/11/30,2017/8/14"
7-32-59,2,"2019/8/13,2018/9/8"
16-31-69,2,"2017/3/16,2012/3/3"
55-82,10,"2020/11/21,2019/12/24,2019/4/16,2014/11/22,2014/7/5,2013/2/19,2011/8/9,2011/5/17,2010/5/3,2009/5/16"
8-13-27,2,"2021/7/10,2015/4/23"
60-85-88,2,"2019/4/11,2009/9/15"
25-30,12,"2022/9/3,2022/1/10,2019/4/2,2018/2/8,2017/9/14,2016/12/27,2016/3/1,2015/4/9,2013/11/26,2011/11/17,2009/11/17,2009/9/24"
3-20,5,"2020/2/6,2018/4/7,2017/3/28,2013/10/10,2012/11/13"
10-17-41-45-69-78,1,2014/5/20
16-28,8,"2022/2/24,2019/12/28,2018/8/30,2016/8/25,2015/1/7,2012/5/3,2012/1/31,2009/11/17"
18-77,5,"2021/10/7,2015/4/7,2014/3/20,2014/2/15,2012/7/26"
29-43-51,3,"2022/5/7,2020/10/20,2016/11/19"
20-47-83,3,"2018/4/7,2012/6/12,2011/12/29"
9-49-68,2,"2022/8/2,2011/4/16"
71-90,8,"2022/9/8,2022/4/28,2018/4/3,2017/12/18,2013/3/30,2013/3/19,2011/7/19,2011/3/1"
18-48-64,3,"2020/11/3,2018/1/8,2010/7/3"
65-87-90,4,"2019/11/5,2019/1/29,2012/6/19,2011/5/24"
22-25-46,3,"2022/5/24,2020/2/1,2014/4/10"
39-74,13,"2020/6/16,2019/6/22,2017/12/14,2017/3/23,2016/5/19,2015/11/17,2014/10/30,2013/12/28,2013/12/24,2012/8/16,2012/2/18,2009/3/21,2009/3/3"
29-34,7,"2021/4/24,2020/2/4,2017/8/19,2017/4/4,2014/4/12,2009/10/22,2009/1/2"
5-57,7,"2022/10/18,2020/8/13,2017/4/11,2015/3/19,2015/2/21,2011/4/5,2010/11/25"
43-44,7,"2022/7/21,2020/10/29,2018/12/27,2018/3/20,2015/5/19,2009/10/27,2009/6/3"
32-61-80,2,"2017/7/20,2015/9/24"
1-9-11-21-36-47,1,2009/3/24
5-27,5,"2022/1/22,2021/2/4,2013/8/24,2012/8/23,2009/5/28"
5-44-76,2,"2021/8/31,2013/12/14"
1-50,7,"2022/9/20,2018/6/12,2016/4/21,2015/10/22,2015/8/17,2013/2/23,2010/11/4"
9-20-33-43-44-48,1,2018/3/20
33-57,9,"2022/4/23,2020/1/28,2019/11/14,2019/5/18,2015/5/28,2015/2/21,2013/7/25,2013/5/2,2009/3/10"
15-80,11,"2022/8/27,2022/3/8,2021/9/2,2019/8/10,2019/1/19,2017/9/28,2016/1/28,2015/6/9,2013/1/24,2012/8/28,2011/5/28"
24-28,5,"2020/10/17,2018/11/22,2017/6/15,2015/12/24,2012/4/24"
28-29-62,2,"2022/7/16,2014/7/26"
6-32-34-56-58-87,1,2022/8/11
25-82-85,2,"2014/11/22,2011/2/15"
63-70-81,2,"2012/6/7,2010/1/2"
15-48,13,"2022/3/24,2021/12/2,2021/1/7,2020/9/22,2019/7/11,2019/1/19,2018/1/25,2018/1/8,2016/7/30,2015/10/27,2013/12/23,2011/4/30,2010/10/14"
63-78-82-85,2,"2011/2/15,2009/2/17"
2-65,7,"2022/6/4,2021/1/19,2018/6/16,2016/10/20,2016/4/2,2015/7/25,2013/10/5"
9-30-31-53-67-86,1,2016/12/15
31-61,7,"2020/10/1,2015/10/3,2013/6/8,2010/12/7,2010/10/16,2009/11/26,2009/2/12"
25-43,11,"2021/6/15,2019/12/19,2018/2/8,2016/8/13,2016/6/23,2012/2/28,2012/2/2,2011/3/31,2011/2/5,2010/7/8,2009/5/23"
74-81-84,2,"2022/8/16,2022/3/26"
52-53-66,2,"2021/6/29,2014/5/27"
43-72-79,3,"2018/7/24,2018/4/21,2016/3/26"
31-52-76,2,"2015/5/9,2014/8/21"
1-19-21-32-48-86,1,2016/12/24
8-62-84,3,"2020/1/30,2019/3/7,2015/10/6"
26-73-86,2,"2015/4/11,2011/1/8"
37-44-60,2,"2021/5/8,2012/4/5"
20-42-53-57-62-73,1,2020/6/13
48-57-87,2,"2015/2/21,2011/6/16"
62-66-68-70-75-83,1,2022/9/10
47-49-53,2,"2021/8/10,2013/1/31"
12-19-36-42-77-87,1,2018/12/24
5-58,7,"2022/2/1,2018/1/4,2017/7/29,2014/5/13,2011/10/1,2011/9/3,2010/3/18"
21-29-43,2,"2015/11/5,2014/6/17"
5-29-32-33-72-89,1,2017/8/31
25-44,8,"2022/9/3,2015/11/19,2015/4/9,2015/2/12,2013/4/9,2011/1/7,2010/4/22,2009/1/15"
59-69-90,2,"2019/5/14,2019/3/21"
30-41,5,"2020/8/20,2018/12/13,2015/11/3,2011/8/9,2010/7/22"
52-78,6,"2016/9/20,2012/10/2,2012/6/9,2011/11/8,2011/2/5,2009/11/28"
49-80-88,2,"2013/2/5,2010/10/19"
42-78-79,2,"2020/7/2,2015/9/17"
33-43-86,2,"2013/9/24,2012/1/31"
6-31-63-74-75-85,1,2013/5/4
60-62-87,2,"2013/12/31,2012/12/18"
3-62,7,"2019/12/31,2013/10/24,2013/6/4,2012/11/13,2011/11/24,2011/9/3,2009/4/16"
1-2-5-27-39-49,1,2013/8/24
24-25,10,"2022/7/7,2022/5/24,2021/10/26,2021/7/8,2018/2/8,2016/6/18,2014/12/11,2013/8/1,2009/1/15,2009/1/3"
9-26,10,"2022/8/2,2021/10/21,2021/1/16,2020/12/17,2020/8/17,2019/9/17,2019/2/7,2015/1/7,2014/8/9,2012/3/27"
21-54-62-63-82-83,1,2015/12/9
17-84,10,"2022/10/31,2020/9/3,2017/2/25,2017/1/14,2016/3/31,2015/10/6,2015/4/21,2013/7/27,2012/1/28,2011/2/17"
10-85-87,2,"2016/6/4,2013/10/12"
2-89,6,"2022/9/1,2022/5/19,2022/4/9,2016/8/13,2014/8/5,2013/4/29"
16-17,6,"2022/7/5,2020/9/3,2020/1/25,2019/11/28,2017/10/19,2011/11/22"
12-33-38,2,"2012/1/21,2011/11/17"
13-21-70-71-72-85,1,2009/3/26
22-88,8,"2022/7/28,2020/2/1,2019/1/22,2017/7/22,2014/6/24,2014/1/25,2013/6/29,2009/11/3"
12-57-89,2,"2016/2/18,2015/1/22"
26-56,6,"2019/11/19,2017/6/6,2016/2/9,2015/4/27,2015/3/7,2009/2/28"
15-33,10,"2022/1/11,2021/1/7,2018/1/8,2017/5/4,2016/4/23,2015/3/31,2014/5/3,2013/6/15,2012/10/27"
7-65-86,2,"2019/11/16,2011/3/24"
4-64,5,"2022/10/13,2018/12/22,2013/9/26,2013/7/6,2013/7/2"
39-81,8,"2022/2/5,2014/6/19,2014/5/10,2013/11/9,2012/11/8,2012/5/29,2012/2/18,2010/5/11"
14-45,9,"2022/5/26,2020/8/1,2019/3/26,2016/5/24,2015/6/4,2011/4/21,2011/4/2,2009/9/1,2009/3/7"
19-30-47,2,"2014/1/4,2012/8/9"
