Day,Month,Year,Digit1,Digit2,Digit3,Digit4,Digit5,Digit6
2,1,2009,36.73,41.52,27.27,16.77,20.89,14.5
3,1,2009,33.11,37.41,27.33,29.08,34.46,14.5
7,1,2009,47.41,30.14,36.49,29.08,20.31,17.2
8,1,2009,47.41,41.73,30.61,27.27,38.97,32.06
10,1,2009,95.38,36.65,36.49,39.51,36.0,44.52
13,1,2009,65.85,14.18,24.52,37.5,42.68,100.0
15,1,2009,68.66,36.65,30.61,9.32,14.29,8.75
17,1,2009,46.88,43.24,27.33,37.5,34.35,76.54
20,1,2009,33.33,31.08,25.3,41.67,37.97,50.62
22,1,2009,100.0,4.62,38.3,41.67,42.48,60.26
24,1,2009,95.38,16.03,12.5,8.66,2.86,21.95
27,1,2009,30.82,30.14,38.57,39.87,42.07,34.19
29,1,2009,23.31,38.24,23.12,32.32,45.39,80.62
31,1,2009,100.0,9.3,4.48,19.51,26.88,88.89
3,2,2009,51.02,39.84,20.27,36.75,19.61,10.0
5,2,2009,74.44,41.32,31.58,19.73,2.7,2.04
7,2,2009,68.66,41.73,19.59,33.57,45.39,50.62
10,2,2009,51.02,41.32,36.65,6.94,5.33,100.0
12,2,2009,90.7,37.41,37.67,12.35,32.14,76.54
14,2,2009,74.44,38.24,31.97,32.81,42.68,32.06
17,2,2009,33.11,41.78,20.44,10.97,36.42,76.54
19,2,2009,22.14,43.85,34.71,19.73,6.45,2.98
21,2,2009,78.11,25.47,38.3,27.27,20.31,4.32
24,2,2009,11.56,29.88,36.65,34.64,42.68,63.33
26,2,2009,57.53,41.52,27.33,18.24,19.61,32.06
28,2,2009,78.11,39.72,25.64,32.32,35.21,60.26
3,3,2009,30.82,25.47,35.46,25.77,42.58,46.43
5,3,2009,16.78,26.45,34.21,29.08,49.19,39.24
7,3,2009,82.44,14.18,33.74,39.5,39.29,66.2
10,3,2009,11.56,4.23,20.44,32.32,43.87,88.89
12,3,2009,95.38,33.56,20.47,19.01,43.87,100.0
14,3,2009,57.53,36.65,35.0,39.87,42.07,39.24
17,3,2009,90.7,29.88,38.57,32.81,22.69,20.16
19,3,2009,100.0,25.47,38.3,41.67,22.22,14.5
21,3,2009,82.44,25.47,31.97,40.41,42.58,100.0
24,3,2009,100.0,29.27,10.2,6.45,6.61,2.48
26,3,2009,46.88,39.35,8.87,25.0,41.78,76.54
28,3,2009,100.0,33.56,23.12,33.57,41.78,46.43
31,3,2009,95.38,16.03,16.33,4.11,4.2,6.72
2,4,2009,90.7,14.18,16.33,10.0,28.87,94.67
4,4,2009,95.38,9.3,1.53,13.53,6.45,1.42
7,4,2009,90.7,31.58,22.22,32.32,18.92,94.67
9,4,2009,95.38,41.73,34.71,33.78,37.97,50.62
11,4,2009,78.11,26.45,13.01,33.57,26.88,100.0
14,4,2009,95.38,24.62,21.92,38.1,34.35,70.0
16,4,2009,90.7,29.27,20.27,19.51,22.22,14.86
18,4,2009,30.82,10.0,34.81,33.78,38.97,80.62
21,4,2009,33.33,43.15,27.66,40.41,32.14,31.62
23,4,2009,21.77,44.06,38.3,25.0,42.58,44.52
27,4,2009,74.44,14.18,22.22,33.59,35.21,31.62
28,4,2009,51.02,14.18,34.71,37.5,41.78,79.73
30,4,2009,22.14,3.05,7.93,11.9,21.6,94.67
2,5,2009,95.38,47.83,37.67,19.51,17.79,66.2
5,5,2009,74.44,14.18,20.47,38.1,38.97,46.43
7,5,2009,16.44,16.33,9.15,32.39,45.39,59.03
9,5,2009,65.85,38.1,38.3,31.01,42.68,66.2
12,5,2009,82.44,29.27,19.18,8.66,17.39,32.06
14,5,2009,100.0,43.15,35.06,32.39,48.85,94.67
16,5,2009,3.11,10.94,23.12,34.51,43.87,60.26
19,5,2009,12.4,7.5,16.22,28.03,30.67,76.54
21,5,2009,51.02,14.18,20.27,9.52,8.07,3.16
23,5,2009,65.85,47.83,27.27,38.1,20.89,4.32
26,5,2009,78.11,35.37,36.49,33.59,42.68,46.43
28,5,2009,73.85,30.08,34.21,30.66,42.48,46.43
30,5,2009,100.0,39.84,20.27,13.01,34.46,14.86
3,6,2009,8.24,35.37,34.21,38.1,14.29,50.62
4,6,2009,74.44,4.23,11.2,34.64,35.21,100.0
6,6,2009,68.66,14.18,16.33,4.13,25.64,10.4
9,6,2009,47.41,43.24,37.27,33.54,34.46,76.54
11,6,2009,82.44,33.56,30.61,40.41,41.78,70.0
13,6,2009,68.66,41.52,27.33,13.74,45.39,66.2
16,6,2009,78.11,14.18,37.27,33.54,32.85,60.26
18,6,2009,49.07,30.08,37.67,41.67,42.58,46.43
20,6,2009,100.0,22.56,35.98,33.78,32.43,44.52
23,6,2009,95.38,9.3,34.21,19.51,34.46,13.7
25,6,2009,22.83,26.45,35.98,41.67,32.43,13.87
27,6,2009,16.78,7.05,11.46,11.9,11.11,94.67
30,6,2009,49.29,41.52,30.61,39.87,25.64,44.52
2,7,2009,49.29,39.84,35.98,28.57,17.39,32.88
4,7,2009,78.11,31.08,24.37,34.64,37.97,94.67
7,7,2009,5.84,16.43,23.12,34.62,42.68,50.62
9,7,2009,74.44,44.06,22.54,39.2,37.04,79.73
11,7,2009,68.66,39.35,34.71,19.73,36.0,23.24
14,7,2009,11.56,31.08,36.65,39.87,32.43,94.67
16,7,2009,78.11,31.08,35.98,31.01,34.46,39.72
18,7,2009,82.44,38.24,38.3,34.62,32.14,60.26
21,7,2009,23.31,38.24,38.3,36.75,37.97,60.26
23,7,2009,65.85,14.18,11.2,32.39,41.78,94.67
25,7,2009,74.44,31.08,34.71,27.27,17.79,88.89
28,7,2009,100.0,39.35,27.27,29.08,32.85,20.16
30,7,2009,95.38,3.05,2.38,5.33,26.88,66.2
1,8,2009,33.11,39.35,24.41,13.01,4.76,1.32
4,8,2009,82.44,26.87,24.84,21.92,42.58,88.89
6,8,2009,7.8,22.08,25.3,34.62,32.14,13.87
8,8,2009,21.77,9.15,19.59,33.57,42.58,46.43
11,8,2009,17.73,44.06,38.3,32.81,22.22,32.88
13,8,2009,51.02,44.06,25.64,30.66,11.11,100.0
17,8,2009,82.44,33.56,31.58,10.71,6.45,7.04
18,8,2009,95.38,41.52,31.97,36.75,39.29,60.26
20,8,2009,95.38,45.58,35.98,34.64,49.19,66.2
22,8,2009,57.53,38.1,31.58,25.77,37.04,88.89
25,8,2009,82.44,24.62,19.18,31.01,22.69,80.62
27,8,2009,49.07,41.78,34.71,32.39,42.58,79.73
29,8,2009,49.07,41.52,27.66,16.77,42.48,23.24
1,9,2009,49.29,14.18,20.47,19.51,9.09,3.07
3,9,2009,34.71,11.11,25.64,33.78,32.43,17.2
5,9,2009,49.07,30.14,37.27,36.75,34.35,76.54
8,9,2009,78.11,39.84,35.06,25.0,37.97,80.62
10,9,2009,33.11,25.47,35.06,33.54,39.29,70.0
12,9,2009,73.85,39.35,27.66,25.77,17.39,6.63
15,9,2009,17.73,3.2,16.43,21.92,21.6,88.89
17,9,2009,33.33,38.24,38.3,30.66,42.58,94.67
19,9,2009,82.44,26.87,21.92,6.45,14.29,59.03
22,9,2009,33.11,14.18,27.34,13.74,42.58,60.26
24,9,2009,73.85,29.27,27.33,10.0,45.39,63.33
26,9,2009,10.32,1.41,8.87,13.74,36.42,100.0
29,9,2009,57.53,43.15,30.61,25.77,42.48,39.72
1,10,2009,82.44,41.52,38.3,41.67,42.68,46.43
3,10,2009,22.14,29.88,13.01,39.2,38.97,70.0
6,10,2009,22.83,37.41,25.3,32.39,49.19,32.88
8,10,2009,100.0,14.18,20.27,32.32,49.19,100.0
10,10,2009,65.85,35.37,38.3,41.67,36.42,70.0
13,10,2009,73.85,38.1,38.3,38.1,25.64,60.26
15,10,2009,90.7,44.06,24.84,37.5,48.85,63.33
17,10,2009,68.66,37.41,33.74,33.54,41.78,66.2
20,10,2009,5.84,8.7,25.3,37.5,39.29,100.0
22,10,2009,16.78,35.37,38.3,33.59,42.07,79.73
24,10,2009,78.11,39.72,34.21,19.51,23.12,32.06
27,10,2009,8.54,16.33,38.57,25.77,32.85,46.43
29,10,2009,16.78,31.58,35.46,41.67,22.22,13.7
31,10,2009,46.88,45.58,35.06,36.75,34.46,39.72
3,11,2009,30.14,31.08,38.57,28.03,38.97,88.89
5,11,2009,49.29,41.78,27.86,34.51,42.58,76.54
7,11,2009,65.85,38.1,8.87,20.0,37.97,66.2
10,11,2009,21.77,38.24,25.64,40.41,45.39,63.33
12,11,2009,9.21,16.33,25.3,28.03,48.85,88.89
14,11,2009,49.07,30.08,37.67,29.08,32.85,60.26
17,11,2009,36.73,47.83,27.86,10.0,8.07,6.54
19,11,2009,100.0,31.08,35.46,37.5,30.99,14.86
21,11,2009,12.4,31.58,27.34,34.51,48.85,70.0
