Ball,Digit1,Digit2,Digit3,Digit4,Digit5,Digit6
1,100.0,0.0,0.0,0.0,0.0,0.0
2,95.38,4.62,0.0,0.0,0.0,0.0
3,90.7,9.3,0.0,0.0,0.0,0.0
4,82.44,16.03,1.53,0.0,0.0,0.0
5,73.85,24.62,1.54,0.0,0.0,0.0
6,78.11,20.12,1.78,0.0,0.0,0.0
7,74.44,22.56,3.01,0.0,0.0,0.0
8,68.66,26.87,4.48,0.0,0.0,0.0
9,65.85,29.27,4.27,0.61,0.0,0.0
10,57.53,33.56,7.53,1.37,0.0,0.0
11,51.02,38.1,10.2,0.68,0.0,0.0
12,49.29,40.0,10.0,0.71,0.0,0.0
13,46.88,39.84,12.5,0.78,0.0,0.0
14,47.41,40.0,6.67,5.19,0.74,0.0
15,49.07,36.65,11.8,2.48,0.0,0.0
16,36.73,45.58,16.33,0.68,0.68,0.0
17,33.11,43.24,20.27,2.7,0.68,0.0
18,34.71,41.32,19.83,4.13,0.0,0.0
19,33.33,41.52,20.47,4.09,0.58,0.0
20,30.82,41.78,21.92,4.11,1.37,0.0
21,29.68,39.35,24.52,6.45,0.0,0.0
22,30.14,43.15,19.18,6.16,1.37,0.0
23,22.83,41.73,24.41,8.66,2.36,0.0
24,21.77,37.41,30.61,9.52,0.68,0.0
25,14.29,47.83,27.33,9.32,1.24,0.0
26,17.73,39.72,27.66,12.06,2.13,0.71
27,23.31,30.08,31.58,13.53,1.5,0.0
28,22.14,36.43,27.86,10.71,2.86,0.0
29,16.78,44.06,27.27,7.69,4.2,0.0
30,13.85,43.85,30.0,10.0,2.31,0.0
31,16.44,30.14,37.67,13.01,2.74,0.0
32,8.24,38.24,34.71,12.35,6.47,0.0
33,11.56,35.37,27.21,19.73,4.76,1.36
34,10.32,26.45,40.0,16.77,6.45,0.0
35,10.14,31.08,36.49,18.24,2.7,1.35
36,12.4,26.45,34.71,19.01,6.61,0.83
37,9.21,31.58,34.21,19.08,4.61,1.32
38,8.54,29.88,35.98,19.51,6.1,0.0
39,3.11,25.47,37.27,25.47,8.07,0.62
40,7.8,14.18,38.3,29.08,8.51,2.13
41,5.84,22.08,35.06,27.27,9.09,0.65
42,2.84,17.73,35.46,35.46,7.09,1.42
43,2.04,16.33,31.97,38.1,9.52,2.04
44,3.57,16.43,38.57,26.43,14.29,0.71
45,2.45,17.18,33.74,25.77,17.79,3.07
46,5.0,10.0,35.0,28.57,17.86,3.57
47,1.24,8.7,36.65,33.54,17.39,2.48
48,1.27,8.86,34.81,31.01,20.89,3.16
49,1.81,12.05,25.3,36.75,17.47,6.63
50,1.56,10.94,27.34,32.81,20.31,7.03
51,0.0,9.15,24.84,39.87,19.61,6.54
52,1.79,5.95,27.98,41.67,19.64,2.98
53,2.52,4.2,24.37,39.5,22.69,6.72
54,0.62,11.11,22.22,39.51,22.22,4.32
55,0.0,7.5,23.12,37.5,23.12,8.75
56,0.0,7.05,25.64,34.62,25.64,7.05
57,0.7,4.23,22.54,34.51,30.99,7.04
58,0.68,3.38,19.59,33.78,34.46,8.11
59,0.68,4.11,13.01,40.41,28.08,13.7
60,0.0,3.2,11.2,39.2,36.0,10.4
61,0.71,7.14,16.43,33.57,32.14,10.0
62,0.68,2.03,16.22,33.78,32.43,14.86
63,0.73,1.46,20.44,30.66,32.85,13.87
64,0.0,3.05,14.5,33.59,34.35,14.5
65,0.61,1.22,7.93,32.32,42.07,15.85
66,0.0,0.64,11.46,28.03,42.68,17.2
67,0.0,0.65,9.15,34.64,42.48,13.07
68,0.0,3.05,5.49,26.83,42.68,21.95
69,0.0,1.41,7.75,32.39,35.21,23.24
70,0.0,0.0,8.87,21.77,49.19,20.16
71,0.0,0.0,4.41,25.0,38.97,31.62
72,0.0,0.68,2.74,21.92,41.78,32.88
73,0.0,0.76,4.58,13.74,48.85,32.06
74,0.0,0.0,3.23,20.0,42.58,34.19
75,0.0,0.0,4.43,18.35,37.97,39.24
76,0.0,0.0,1.42,13.48,45.39,39.72
77,0.0,0.0,2.38,11.9,39.29,46.43
78,0.0,0.0,0.65,10.97,43.87,44.52
79,0.0,0.0,1.23,11.11,37.04,50.62
80,0.0,0.0,0.0,6.94,34.03,59.03
81,0.0,0.0,0.67,5.33,30.67,63.33
82,0.0,0.66,0.0,2.65,36.42,60.26
83,0.0,0.0,0.62,2.5,26.88,70.0
84,0.0,0.0,0.0,4.93,28.87,66.2
85,0.0,0.0,0.62,1.23,21.6,76.54
86,0.0,0.0,0.0,1.88,17.5,80.62
87,0.0,0.0,0.0,1.35,18.92,79.73
88,0.0,0.0,0.0,0.0,11.11,88.89
89,0.0,0.0,0.0,0.0,5.33,94.67
90,0.0,0.0,0.0,0.0,0.0,100.0
