Ball,Digit1,Digit2,Digit3,Digit4,Digit5,Digit6
1,148,0,0,0,0,0
2,124,6,0,0,0,0
3,117,12,0,0,0,0
4,108,21,2,0,0,0
5,96,32,2,0,0,0
6,132,34,3,0,0,0
7,99,30,4,0,0,0
8,92,36,6,0,0,0
9,108,48,7,1,0,0
10,84,49,11,2,0,0
11,75,56,15,1,0,0
12,69,56,14,1,0,0
13,60,51,16,1,0,0
14,64,54,9,7,1,0
15,79,59,19,4,0,0
16,54,67,24,1,1,0
17,49,64,30,4,1,0
18,42,50,24,5,0,0
19,57,71,35,7,1,0
20,45,61,32,6,2,0
21,46,61,38,10,0,0
22,44,63,28,9,2,0
23,29,53,31,11,3,0
24,32,55,45,14,1,0
25,23,77,44,15,2,0
26,25,56,39,17,3,1
27,31,40,42,18,2,0
28,31,51,39,15,4,0
29,24,63,39,11,6,0
30,18,57,39,13,3,0
31,24,44,55,19,4,0
32,14,65,59,21,11,0
33,17,52,40,29,7,2
34,16,41,62,26,10,0
35,15,46,54,27,4,2
36,15,32,42,23,8,1
37,14,48,52,29,7,2
38,14,49,59,32,10,0
39,5,41,60,41,13,1
40,11,20,54,41,12,3
41,9,34,54,42,14,1
42,4,25,50,50,10,2
43,3,24,47,56,14,3
44,5,23,54,37,20,1
45,4,28,55,42,29,5
46,7,14,49,40,25,5
47,2,14,59,54,28,4
48,2,14,55,49,33,5
49,3,20,42,61,29,11
50,2,14,35,42,26,9
51,0,14,38,61,30,10
52,3,10,47,70,33,5
53,3,5,29,47,27,8
54,1,18,36,64,36,7
55,0,12,37,60,37,14
56,0,11,40,54,40,11
57,1,6,32,49,44,10
58,1,5,29,50,51,12
59,1,6,19,59,41,20
60,0,4,14,49,45,13
61,1,10,23,47,45,14
62,1,3,24,50,48,22
63,1,2,28,42,45,19
64,0,4,19,44,45,19
65,1,2,13,53,69,26
66,0,1,18,44,67,27
67,0,1,14,53,65,20
68,0,5,9,44,70,36
69,0,2,11,46,50,33
70,0,0,11,27,61,25
71,0,0,6,34,53,43
72,0,1,4,32,61,48
73,0,1,6,18,64,42
74,0,0,5,31,66,53
75,0,0,7,29,60,62
76,0,0,2,19,64,56
77,0,0,4,20,66,78
78,0,0,1,17,68,69
79,0,0,2,18,60,82
80,0,0,0,10,49,85
81,0,0,1,8,46,95
82,0,1,0,4,55,91
83,0,0,1,4,43,112
84,0,0,0,7,41,94
85,0,0,1,2,35,124
86,0,0,0,3,28,129
87,0,0,0,2,28,118
88,0,0,0,0,15,120
89,0,0,0,0,8,142
90,0,0,0,0,0,153
